    2       1.314199456803e-10       5.714747003651e-15       4.501312568053e-13       0.000000000000e+00       9.412981699816e-09       3.740202001318e-10      -2.236772656705e-12 
    3       1.267013448308e-10       9.346568380305e-15       5.432547975724e-13       0.000000000000e+00       5.780813885567e-09       2.724562404709e-10      -1.928222629566e-12 
    4       1.212290600232e-10       1.056628693248e-14       5.483719185924e-13       0.000000000000e+00       4.020958548111e-09       2.100842104443e-10      -1.508623465195e-12 
    5       1.168000375764e-10       9.437059024470e-15       5.045746429594e-13       0.000000000000e+00       3.004120331823e-09       1.681467578416e-10      -1.093673945064e-12 
    6       1.135579979279e-10       7.013219747029e-15       4.378294441728e-13       0.000000000000e+00       2.348973626915e-09       1.381397637515e-10      -7.237324709547e-13 
    7       1.113723051765e-10       4.482348769120e-15       3.655870625504e-13       0.000000000000e+00       1.897200885233e-09       1.157614237969e-10      -4.186097369569e-13 
    8       1.100609996799e-10       2.593446393160e-15       2.979600232781e-13       0.000000000000e+00       1.569870089414e-09       9.858933641445e-11      -1.857640552953e-13 
    9       1.094206409672e-10       1.534372054444e-15       2.406017841479e-13       0.000000000000e+00       1.323429216043e-09       8.508235012539e-11      -2.435889501559e-14 
   10       1.093015680847e-10       1.105802874525e-15       1.962083287613e-13       0.000000000000e+00       1.132251156153e-09       7.422395819639e-11       7.255875792984e-14 
   11       1.095990607762e-10       9.866595639464e-16       1.653488056137e-13       0.000000000000e+00       9.480132979773e-10       6.561277810331e-11       1.156838578647e-13 
   12       1.101898798316e-10       9.322837154818e-16       1.471186206575e-13       0.000000000000e+00       8.287835799787e-10       5.813398110480e-11       1.194452203592e-13 
   13       1.110548728879e-10       8.438693192561e-16       1.395923535334e-13       0.000000000000e+00       7.308851572741e-10       5.194766332008e-11       9.720064975297e-14 
   14       1.121334189652e-10       7.338862389442e-16       1.401400876661e-13       0.000000000000e+00       6.494269727226e-10       4.682673371708e-11       6.151976694987e-14 
   15       1.133198138457e-10       6.522948469163e-16       1.460440941504e-13       0.000000000000e+00       5.808574317832e-10       4.235285605673e-11       2.237114960737e-14 
   16       1.146542436072e-10       6.297375027061e-16       1.549667046265e-13       0.000000000000e+00       5.225432948516e-10       3.850732556829e-11      -1.253430183074e-14 
   17       1.161150797627e-10       6.607668908523e-16       1.650203787046e-13       0.000000000000e+00       4.725073220866e-10       3.522069479004e-11      -3.845725607961e-14 
   18       1.176390664013e-10       7.167946981654e-16       1.748248367226e-13       0.000000000000e+00       4.290660715376e-10       3.231369564863e-11      -5.347512079918e-14 
   19       1.192470899021e-10       7.803120940206e-16       1.838147171851e-13       0.000000000000e+00       3.915404811795e-10       2.973953507028e-11      -5.796798159699e-14 
   20       1.209318730071e-10       8.392364917478e-16       1.916677556068e-13       0.000000000000e+00       3.584801419100e-10       2.743800888835e-11      -5.394715069955e-14 
   21       1.226840085053e-10       9.038403495612e-16       1.985436110116e-13       0.000000000000e+00       3.293677111556e-10       2.540098127608e-11      -4.402891010369e-14 
   22       1.244651193654e-10       9.927802783780e-16       2.048348765111e-13       0.000000000000e+00       3.035103188401e-10       2.359936136274e-11      -3.161249611068e-14 
   23       1.262879298812e-10       1.114995888828e-15       2.109235391461e-13       0.000000000000e+00       2.805539206539e-10       2.198478020095e-11      -1.918769903166e-14 
   24       1.281590729272e-10       1.274757499027e-15       2.172076655127e-13       0.000000000000e+00       2.599685345651e-10       2.048987466475e-11      -9.063234215548e-15 
   25       1.300735336152e-10       1.468188293570e-15       2.239194125469e-13       0.000000000000e+00       2.415130538171e-10       1.913037188836e-11      -2.383498388596e-15 
   26       1.320090351553e-10       1.688320213445e-15       2.311833955248e-13       0.000000000000e+00       2.248547393842e-10       1.792958826521e-11       2.839551874560e-16 
   27       1.339678571474e-10       1.933477093615e-15       2.388524128023e-13       0.000000000000e+00       2.097956407797e-10       1.685706233565e-11      -6.135245206816e-16 
   28       1.359502603040e-10       2.203361050058e-15       2.466338669418e-13       0.000000000000e+00       1.960781383443e-10       1.586051695723e-11      -4.101846505919e-15 
   29       1.379635738867e-10       2.498038730094e-15       2.541991021679e-13       0.000000000000e+00       1.836327697276e-10       1.493551803521e-11      -9.175586273754e-15 
   30       1.400050188566e-10       2.817464076616e-15       2.611317181709e-13       0.000000000000e+00       1.723259638117e-10       1.408579400658e-11      -1.455609203785e-14 
   31       1.420620248380e-10       3.161306230858e-15       2.669777910004e-13       0.000000000000e+00       1.619272781486e-10       1.330819265055e-11      -1.886207189175e-14 
   32       1.441409720022e-10       3.529071172255e-15       2.715084031181e-13       0.000000000000e+00       1.523837711055e-10       1.259891428389e-11      -2.159742971885e-14 
   33       1.462466927336e-10       3.919986538449e-15       2.745514929306e-13       0.000000000000e+00       1.436289986963e-10       1.194813635853e-11      -2.252546658385e-14 
   34       1.483775416433e-10       4.333752274164e-15       2.759623804631e-13       0.000000000000e+00       1.355415652450e-10       1.134174468479e-11      -2.153651254084e-14 
   35       1.505385460149e-10       4.773332357240e-15       2.757586283521e-13       0.000000000000e+00       1.280805220699e-10       1.077581692592e-11      -1.906667236267e-14 
   36       1.527311769539e-10       5.243203415124e-15       2.740363703550e-13       0.000000000000e+00       1.211862748506e-10       1.024634515744e-11      -1.584427036458e-14 
   37       1.549514562733e-10       5.747749502351e-15       2.709185901276e-13       0.000000000000e+00       1.147694182084e-10       9.747531023326e-12      -1.265031718621e-14 
   38       1.571983933281e-10       6.288079646350e-15       2.664881474007e-13       0.000000000000e+00       1.088136885112e-10       9.280399200805e-12      -9.827069535307e-15 
