# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi    
   44       1.770098378925e-10       1.062945169987e-14       1.952349136124e-13       8.264616312633e-17       7.350002081239e-11       7.969679199175e-12      -1.159468942326e-14 
   45       1.795685381577e-10       1.144204138672e-14       1.799695385319e-13       8.645791241910e-17       7.009215118501e-11       7.633385146731e-12      -1.159626584351e-14 
   46       1.821578585331e-10       1.229239365504e-14       1.627938592727e-13       9.035786642875e-17       6.689147952866e-11       7.314188189806e-12      -1.090074762708e-14 
   47       1.847776574002e-10       1.318091037659e-14       1.437514594754e-13       9.434597886317e-17       6.389429328719e-11       7.012642364725e-12      -9.725802773485e-15 
   48       1.874248219347e-10       1.410793687886e-14       1.229046143523e-13       9.842217126935e-17       6.108737480909e-11       6.728556079582e-12      -8.337433179234e-15 
   49       1.900930151901e-10       1.507375965262e-14       1.003352531521e-13       1.025863314088e-16       5.844729443593e-11       6.460932713854e-12      -7.052683430760e-15 
   50       1.927754797466e-10       1.607860898717e-14       7.612576022142e-14       1.068383103924e-16       5.594746994484e-11       6.208355600549e-12      -6.166628277357e-15 
   51       1.954749325882e-10       1.712267303819e-14       5.029300160841e-14       1.111779169368e-16       5.358324393229e-11       5.970403975810e-12      -5.703686641792e-15 
   52       1.981959188978e-10       1.820608361573e-14       2.283805440618e-14       1.156049187409e-16       5.135239146276e-11       5.746518695625e-12      -5.603486923643e-15 
   53       2.009418837492e-10       1.932890957842e-14      -6.235183623806e-15       1.201190419468e-16       4.924761531316e-11       5.535553870037e-12      -5.789854218168e-15 
   54       2.037150630292e-10       2.049115477287e-14      -3.691998035868e-14       1.247199694574e-16       4.725620453681e-11       5.335738374879e-12      -6.169955752979e-15 
   55       2.065168121690e-10       2.169275942703e-14      -6.921457155180e-14       1.294073745317e-16       4.536391423639e-11       5.145175346150e-12      -6.649577746280e-15 
   56       2.093489378544e-10       2.293360945642e-14      -1.031478686574e-13       1.341810352020e-16       4.356851574312e-11       4.963574143703e-12      -7.185357885380e-15 
   57       2.122125060831e-10       2.421352586041e-14      -1.387601133967e-13       1.390407453329e-16       4.186901454089e-11       4.790881229300e-12      -7.744031682401e-15 
   58       2.151073433245e-10       2.553225958675e-14      -1.760959058568e-13       1.439862815305e-16       4.026155085781e-11       4.626762734079e-12      -8.287216755806e-15 
   59       2.180319445000e-10       2.688948960546e-14      -2.152044953138e-13       1.490174028345e-16       3.873922269277e-11       4.470586930645e-12      -8.771186764018e-15 
   60       2.209833809626e-10       2.828482098282e-14      -2.561400710570e-13       1.541338504090e-16       3.729190884212e-11       4.321406705178e-12      -9.146645339047e-15 
   61       2.239586324831e-10       2.971781939758e-14      -2.989498150545e-13       1.593353984422e-16       3.590908020972e-11       4.178242621775e-12      -9.372387219307e-15 
   62       2.269591407560e-10       3.118812810033e-14      -3.436342682963e-13       1.646220208919e-16       3.458937149589e-11       4.041046015170e-12      -9.460376324877e-15 
   63       2.299871193377e-10       3.269537390856e-14      -3.901785438370e-13       1.699937617904e-16       3.333285371202e-11       3.909921954759e-12      -9.440430829273e-15 
   64       2.330441739212e-10       3.423913232658e-14      -4.385636843828e-13       1.754506886300e-16       3.213815495198e-11       3.784839896107e-12      -9.347439128711e-15 
   65       2.361312554995e-10       3.581892677570e-14      -4.887665648077e-13       1.809928936797e-16       3.100237823473e-11       3.665625690615e-12      -9.221574406056e-15 
   66       2.392486135280e-10       3.743422782451e-14      -5.407597946695e-13       1.866204953007e-16       2.992101934692e-11       3.551953595186e-12      -9.108509194774e-15 
   67       2.423957490873e-10       3.908445241913e-14      -5.945116207263e-13       1.923336392636e-16       2.888788468547e-11       3.443338281887e-12      -9.059629942889e-15 
   68       2.455719988412e-10       4.076891135973e-14      -6.499876974920e-13       1.981324960339e-16       2.789674563131e-11       3.339271890928e-12      -9.119261950310e-15 
   69       2.487785290079e-10       4.248664109229e-14      -7.071570334099e-13       2.040172490504e-16       2.694687458066e-11       3.239685298094e-12      -9.282858670183e-15 
   70       2.520166631356e-10       4.423653629400e-14      -7.659870799424e-13       2.099881064256e-16       2.603848822236e-11       3.144566387489e-12      -9.530686985947e-15 
   71       2.552872569023e-10       4.601739655548e-14      -8.264419213191e-13       2.160453059570e-16       2.517107319019e-11       3.053819073927e-12      -9.839951701481e-15 
   72       2.585906674107e-10       4.782792428737e-14      -8.884822248293e-13       2.221891163407e-16       2.434334831802e-11       2.967259022141e-12      -1.018467788955e-14 
   73       2.619267224843e-10       4.966672262694e-14      -9.520651911138e-13       2.284198383842e-16       2.355322689498e-11       2.884609365996e-12      -1.053559324023e-14 
   74       2.652946899629e-10       5.153229334476e-14      -1.017144504457e-12       2.347378062201e-16       2.279777892065e-11       2.805496427705e-12      -1.086001040938e-14 
   75       2.686932469983e-10       5.342303475129e-14      -1.083670283080e-12       2.411433885188e-16       2.207319336019e-11       2.729445437038e-12      -1.112170936701e-14 
   76       2.721210926831e-10       5.533734144415e-14      -1.151595277300e-12       2.476369304126e-16       2.137572424975e-11       2.655998513365e-12      -1.128918468663e-14 
   77       2.755789827856e-10       5.727392917677e-14      -1.220894878770e-12       2.542185643585e-16       2.070481162854e-11       2.585102912899e-12      -1.136238375613e-14 
   78       2.790680119992e-10       5.923156570312e-14      -1.291550686663e-12       2.608883668288e-16       2.006046379318e-11       2.516786131815e-12      -1.135065331267e-14 
   79       2.825889862961e-10       6.120897418760e-14      -1.363544660646e-12       2.676464145390e-16       1.944230665010e-11       2.451038179264e-12      -1.126486006369e-14 
   80       2.861424054154e-10       6.320483320000e-14      -1.436859199284e-12       2.744927844449e-16       1.884956614539e-11       2.387809803686e-12      -1.111744456526e-14 
   81       2.897284453510e-10       6.521777671049e-14      -1.511477218455e-12       2.814275537399e-16       1.828105069459e-11       2.327010719121e-12      -1.092247510039e-14 
   82       2.933469408386e-10       6.724639408448e-14      -1.587382229758e-12       2.884507998530e-16       1.773513361250e-11       2.268507831516e-12      -1.069570155737e-14 
   83       2.969973678438e-10       6.928923007767e-14      -1.664558418920e-12       2.955626004459e-16       1.720973554302e-11       2.212123465044e-12      -1.045460930808e-14 
   84       3.006791549324e-10       7.134476817327e-14      -1.742982951997e-12       3.027630418786e-16       1.670282986812e-11       2.157679191286e-12      -1.021510331578e-14 
   85       3.043927150497e-10       7.341137743121e-14      -1.822601256711e-12       3.100522462256e-16       1.621409369050e-11       2.105139550442e-12      -9.980810840707e-15 
   86       3.081385534754e-10       7.548735677741e-14      -1.903347767989e-12       3.174303487547e-16       1.574349960734e-11       2.054489014862e-12      -9.752095887573e-15 
   87       3.119169423410e-10       7.757095059727e-14      -1.985153284388e-12       3.248974899946e-16       1.529080841483e-11       2.005687512161e-12      -9.529268586081e-15 
   88       3.157279086453e-10       7.966034845058e-14      -2.067944915874e-12       3.324538158747e-16       1.485556032751e-11       1.958669417960e-12      -9.312582434475e-15 
   89       3.195712222690e-10       8.175368478657e-14      -2.151646031612e-12       3.400994778646e-16       1.443706619766e-11       1.913342548637e-12      -9.102231543055e-15 
   90       3.234463839900e-10       8.384903865884e-14      -2.236176207749e-12       3.478346331145e-16       1.403439873467e-11       1.869587154073e-12      -8.898347877704e-15 
   91       3.273526134985e-10       8.594443344040e-14      -2.321451175195e-12       3.556594445944e-16       1.364638372442e-11       1.827254910394e-12      -8.700998503419e-15 
   92       3.312888374124e-10       8.803783653862e-14      -2.407382767411e-12       3.635740812341e-16       1.327159124864e-11       1.786167912721e-12      -8.510182827830e-15 
   93       3.352540267379e-10       9.012721878218e-14      -2.493885364120e-12       3.715787878145e-16       1.290867496150e-11       1.746162415309e-12      -8.325942692072e-15 
   94       3.392482933430e-10       9.221074341800e-14      -2.580896444451e-12       3.796741063614e-16       1.255746736122e-11       1.707229764949e-12      -8.148717570929e-15 
   95       3.432719370020e-10       9.428660514474e-14      -2.668359042832e-12       3.878606884627e-16       1.221803377939e-11       1.669394900274e-12      -7.979037946946e-15 
   96       3.473251035520e-10       9.635297350058e-14      -2.756215564952e-12       3.961392295665e-16       1.189033505216e-11       1.632673105263e-12      -7.817416031848e-15 
   97       3.514077777048e-10       9.840799339727e-14      -2.844407824708e-12       4.045104700779e-16       1.157422351740e-11       1.597069616224e-12      -7.664344559104e-15 
   98       3.555197758586e-10       1.004497856543e-13      -2.932877081168e-12       4.129751964570e-16       1.126943901178e-11       1.562579228782e-12      -7.520295576486e-15 
   99       3.596607389101e-10       1.024764475327e-13      -3.021564075514e-12       4.215342423153e-16       1.097560486785e-11       1.529185904863e-12      -7.385719238637e-15 
  100       3.638301250662e-10       1.044860532699e-13      -3.110409068000e-12       4.301884895136e-16       1.069222391117e-11       1.496862379682e-12      -7.261042599631e-15 
  101       3.680272026560e-10       1.064766546126e-13      -3.199351874903e-12       4.389388692591e-16       1.041867445738e-11       1.465569768731e-12      -7.146668405534e-15 
  102       3.722510429429e-10       1.084462813522e-13      -3.288331905479e-12       4.477863632023e-16       1.015420630934e-11       1.435257174762e-12      -7.042973886971e-15 
