# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi    
   44       1.710410772351e-10       1.036987437158e-14       2.155953959274e-13       9.516214943692e-17       8.076692776897e-11       7.122126204988e-12      -9.443328029437e-15 
   45       1.733981055387e-10       1.116474941796e-14       2.024450802134e-13       9.954586570512e-17       7.706935878332e-11       6.837762330371e-12      -1.052708919057e-14 
   46       1.757896157714e-10       1.199683197595e-14       1.875970804214e-13       1.040307770789e-16       7.359516232960e-11       6.565648839773e-12      -1.120199887924e-14 
   47       1.782130877928e-10       1.286657621949e-14       1.709971384098e-13       1.086168179660e-16       7.034044692458e-11       6.306619207419e-12      -1.146227925900e-14 
   48       1.806625294181e-10       1.377438772020e-14       1.525910095598e-13       1.133038845517e-16       6.729102664035e-11       6.060964547564e-12      -1.130878159151e-14 
   49       1.831281963472e-10       1.472062150119e-14       1.323244274738e-13       1.180918328370e-16       6.442165459484e-11       5.828388278993e-12      -1.074946927080e-14 
   50       1.856002445780e-10       1.570554984323e-14       1.101625287868e-13       1.229804749086e-16       6.170365997076e-11       5.608233954231e-12      -9.818661632012e-15 
   51       1.880815061836e-10       1.672925991662e-14       8.615442544210e-14       1.279695711112e-16       5.913208122009e-11       5.400346830880e-12      -8.639802756857e-15 
   52       1.905776972558e-10       1.779172499850e-14       6.038609880871e-14       1.330588323585e-16       5.670457290271e-11       5.204367798890e-12      -7.380565505228e-15 
   53       1.930936957536e-10       1.889282900219e-14       3.296333105674e-14       1.382479197178e-16       5.441328361806e-11       5.019448945597e-12      -6.236913353927e-15 
   54       1.956334464907e-10       2.003236310756e-14       4.012585625538e-15       1.435364423645e-16       5.224448495591e-11       4.844221075034e-12      -5.434466290923e-15 
   55       1.981999037697e-10       2.121009971385e-14      -2.635430749033e-14       1.489239977176e-16       5.018278102415e-11       4.677188464976e-12      -5.167711674091e-15 
   56       2.007950602627e-10       2.242604353122e-14      -5.815838632769e-14       1.544103082082e-16       4.822581166227e-11       4.518102386821e-12      -5.396823554088e-15 
   57       2.034197588832e-10       2.368023696356e-14      -9.146315216840e-14       1.599951149044e-16       4.637255189983e-11       4.366871905054e-12      -6.002761380430e-15 
   58       2.060735642571e-10       2.497268790181e-14      -1.263414659574e-13       1.656781379139e-16       4.461886300384e-11       4.223151044001e-12      -6.843970021509e-15 
   59       2.087546691767e-10       2.630336936691e-14      -1.628760780365e-13       1.714590759821e-16       4.295729989355e-11       4.086322952763e-12      -7.755324034080e-15 
   60       2.114598010549e-10       2.767221915270e-14      -2.011601578776e-13       1.773376060898e-16       4.137691855521e-11       3.955484070155e-12      -8.547071932746e-15 
   61       2.141856555026e-10       2.907908369949e-14      -2.412768812405e-13       1.833134441268e-16       3.986632845899e-11       3.829707972216e-12      -9.050050218839e-15 
   62       2.169337847114e-10       3.052353580089e-14      -2.832316390422e-13       1.893865437363e-16       3.842408612823e-11       3.708941944248e-12      -9.265573258409e-15 
   63       2.197066453153e-10       3.200501515944e-14      -3.270054828126e-13       1.955569415929e-16       3.705030338968e-11       3.593284470258e-12      -9.247467498635e-15 
   64       2.225061238919e-10       3.352287846093e-14      -3.725745924531e-13       2.018247017711e-16       3.574352038655e-11       3.482716485566e-12      -9.059174759762e-15 
   65       2.253334918713e-10       3.507639724784e-14      -4.199101414782e-13       2.081899172810e-16       3.450061595478e-11       3.377094415861e-12      -8.774164609066e-15 
   66       2.281893604439e-10       3.666475579269e-14      -4.689781622572e-13       2.146527116045e-16       3.331671799921e-11       3.276143216250e-12      -8.476346734815e-15 
   67       2.310736354692e-10       3.828704897151e-14      -5.197394112554e-13       2.212132402307e-16       3.218511386991e-11       3.179449410316e-12      -8.260483320237e-15 
   68       2.339860088806e-10       3.994234586985e-14      -5.721547249520e-13       2.278716864713e-16       3.109905104790e-11       3.086581882275e-12      -8.209817462169e-15 
   69       2.369276493166e-10       4.162990032063e-14      -6.262026490335e-13       2.346282444887e-16       3.005776322878e-11       2.997498234921e-12      -8.322772748435e-15 
   70       2.398997746259e-10       4.334897940252e-14      -6.818651556658e-13       2.414831355725e-16       2.906150988855e-11       2.912208643870e-12      -8.572073649640e-15 
   71       2.429031148725e-10       4.509880104446e-14      -7.391224744454e-13       2.484366149199e-16       2.810975347323e-11       2.830651762371e-12      -8.926048041430e-15 
   72       2.459378809657e-10       4.687853358019e-14      -7.979530980676e-13       2.554889730257e-16       2.720111812061e-11       2.752691027699e-12      -9.348456868589e-15 
   73       2.490037332897e-10       4.868729530286e-14      -8.583337879943e-13       2.626405370714e-16       2.633334838201e-11       2.678110967549e-12      -9.798323809160e-15 
   74       2.520997503330e-10       5.052415401952e-14      -9.202395801225e-13       2.698916723154e-16       2.550326794402e-11       2.606613506438e-12      -1.022976493855e-14 
   75       2.552243973179e-10       5.238812660575e-14      -9.836437904519e-13       2.772427834820e-16       2.470673835029e-11       2.537814272095e-12      -1.059181839363e-14 
   76       2.583761858070e-10       5.427811099287e-14      -1.048517275759e-12       2.846942442953e-16       2.393969093191e-11       2.471339979028e-12      -1.084018231693e-14 
   77       2.615558607316e-10       5.619266879601e-14      -1.114826047445e-12       2.922461681743e-16       2.320153109387e-11       2.407149245827e-12      -1.097527636727e-14 
   78       2.647645570373e-10       5.813020205375e-14      -1.182533230836e-12       2.998985980531e-16       2.249228270663e-11       2.345263841712e-12      -1.101084368975e-14 
   79       2.680031271651e-10       6.008901547764e-14      -1.251599762123e-12       3.076515744445e-16       2.181155101053e-11       2.285671204651e-12      -1.096273103088e-14 
   80       2.712721238497e-10       6.206731462117e-14      -1.321984378756e-12       3.155051353565e-16       2.115850334452e-11       2.228322820422e-12      -1.084896259161e-14 
   81       2.745717829184e-10       6.406320404882e-14      -1.393643609831e-12       3.234593162079e-16       2.053184987499e-11       2.173132601677e-12      -1.068981388036e-14 
   82       2.779020060892e-10       6.607468550512e-14      -1.466531766483e-12       3.315141497446e-16       1.992982432448e-11       2.119975267013e-12      -1.050788556608e-14 
   83       2.812623437702e-10       6.809965608364e-14      -1.540600932279e-12       3.396696659556e-16       1.935016470047e-11       2.068684720029e-12      -1.032817733124e-14 
   84       2.846523117387e-10       7.013606554673e-14      -1.615802574842e-12       3.479259028341e-16       1.879066595841e-11       2.019096673839e-12      -1.017262987288e-14 
   85       2.880724391815e-10       7.218242226078e-14      -1.692092708757e-12       3.562829408932e-16       1.825098547311e-11       1.971188194159e-12      -1.004254951332e-14 
   86       2.915233636675e-10       7.423736816728e-14      -1.769427574929e-12       3.647408742449e-16       1.773110293504e-11       1.924958425159e-12      -9.933391821168e-15 
   87       2.950055012952e-10       7.629952792087e-14      -1.847762112825e-12       3.732998003607e-16       1.723076551151e-11       1.880385536454e-12      -9.840015571188e-15 
   88       2.985190351027e-10       7.836750973319e-14      -1.927049978116e-12       3.819598201704e-16       1.674947818783e-11       1.837425845789e-12      -9.756663625045e-15 
   89       3.020639034777e-10       8.043990621671e-14      -2.007243560312e-12       3.907210381599e-16       1.628649410835e-11       1.796012941725e-12      -9.676943812036e-15 
   90       3.056397885675e-10       8.251529522855e-14      -2.088294000402e-12       3.995835624699e-16       1.584080491763e-11       1.756056806327e-12      -9.593809809817e-15 
   91       3.092461046894e-10       8.459224071434e-14      -2.170151208496e-12       4.085475049943e-16       1.541113110148e-11       1.717442937847e-12      -9.499542025148e-15 
   92       3.128819867403e-10       8.666929355206e-14      -2.252763881459e-12       4.176129814782e-16       1.499591232815e-11       1.680031473411e-12      -9.385728474622e-15 
   93       3.165465889308e-10       8.874493436331e-14      -2.336078443285e-12       4.267801971114e-16       1.459367951216e-11       1.643690989368e-12      -9.245381934469e-15 
   94       3.202400575548e-10       9.081739027550e-14      -2.420035645586e-12       4.360497178200e-16       1.420425599666e-11       1.608407623016e-12      -9.079697158663e-15 
   95       3.239626837767e-10       9.288479203261e-14      -2.504573486045e-12       4.454222401486e-16       1.382772001127e-11       1.574190817090e-12      -8.892279326128e-15 
   96       3.277145991115e-10       9.494522961877e-14      -2.589628242949e-12       4.548985106561e-16       1.346403468646e-11       1.541039708514e-12      -8.687108392949e-15 
   97       3.314957680950e-10       9.699675230556e-14      -2.675134478036e-12       4.644793271875e-16       1.311304363447e-11       1.508942727097e-12      -8.468549297321e-15 
   98       3.353059809533e-10       9.903736869914e-14      -2.761025039347e-12       4.741655401457e-16       1.277446653030e-11       1.477877194236e-12      -8.241362164499e-15 
   99       3.391448462727e-10       1.010650467876e-13      -2.847231064079e-12       4.839580537636e-16       1.244789469265e-11       1.447808921618e-12      -8.010712511745e-15 
