# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_efld           14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       9.326212236329e+13       8.690108513627e-26       4.969479050487e-09       1.876595547082e+22       1.152959485625e+04       1.236256967361e-10       1.075274486283e+18       2.869286978777e-09       2.081614237943e+44       1.988512843757e+33       1.086497713015e+34       2.985121549152e-08       6.393135657065e+37       1.439995969943e+44       3.521610847328e+44       3.521610847328e+44       1.173870133227e+44      -9.448120154552e+52       1.639545294984e-05       1.433565612129e+01 
       9.261382558406e+13       8.812195847641e-26       5.004039849155e-09       1.850596517437e+22       1.152959485625e+04       1.244910766134e-10       1.067799887071e+18       2.889371987545e-09       2.024334923361e+44       1.947331947127e+33       1.063997003428e+34       2.985121549152e-08       6.247649642678e+37       1.400371922098e+44       3.424707470349e+44       3.424707470349e+44       1.141569010963e+44      -9.124268464927e+52       1.803499824090e-05       1.303241465277e+01 
       9.197003533656e+13       8.935998386557e-26       5.040419637226e-09       1.824957687703e+22       1.152959485625e+04       1.253625141499e-10       1.060377246345e+18       2.909597591365e-09       1.968631750899e+44       1.907003881925e+33       1.041962269908e+34       2.985121549152e-08       6.105474394950e+37       1.361838200337e+44       3.330470561906e+44       3.330470561906e+44       1.110156711467e+44      -8.811517387417e+52       1.967454353122e-05       1.194638009565e+01 
       9.133072029435e+13       9.061540227286e-26       5.074980435893e-09       1.799674067541e+22       1.152959485625e+04       1.262400517492e-10       1.053006202923e+18       2.929964774402e-09       1.914461350206e+44       1.867510986528e+33       1.020383862374e+34       2.985121549152e-08       5.966534572097e+37       1.324364802401e+44       3.238826749381e+44       3.238826749381e+44       1.079608777201e+44      -8.509486428130e+52       2.131408882082e-05       1.102742777807e+01 
       9.069584934877e+13       9.188845805279e-26       5.109541234560e-09       1.774740735751e+22       1.152959485625e+04       1.271237321116e-10       1.045686398135e+18       2.950474527712e-09       1.861781544344e+44       1.828835965075e+33       9.992523305905e+33       2.985121549152e-08       5.830756546858e+37       1.287922551596e+44       3.149704679133e+44       3.149704679133e+44       1.049901423621e+44      -8.217808135305e+52       2.295363410968e-05       1.023975436298e+01 
       9.006539160737e+13       9.317939899279e-26       5.145921022631e-09       1.750152839310e+22       1.152959485625e+04       1.280135982366e-10       1.038417475802e+18       2.971127849285e-09       1.810551316947e+44       1.790961879892e+33       9.785584200318e+33       2.985121549152e-08       5.698068367478e+37       1.252483074076e+44       3.063034960945e+44       3.063034960945e+44       1.021011520655e+44      -7.936127652261e+52       2.459317939779e-05       9.557104069896e+00 
       8.943931639248e+13       9.448847636147e-26       5.182300810702e-09       1.725905592434e+22       1.152959485625e+04       1.289096934245e-10       1.031199082225e+18       2.991925744100e-09       1.760730780288e+44       1.753872144075e+33       9.582930678273e+33       2.985121549152e-08       5.568399719577e+37       1.218018776752e+44       2.978750113993e+44       2.978750113993e+44       9.929165746973e+43      -7.664102285686e+52       2.623272468517e-05       8.959785063433e+00 
       8.881759323966e+13       9.581594495750e-26       5.218680598773e-09       1.701994275639e+22       1.152959485625e+04       1.298120612786e-10       1.024030866160e+18       3.012869224170e-09       1.712281144221e+44       1.717550514222e+33       9.384473987930e+33       2.985121549152e-08       5.441681888895e+37       1.184502825809e+44       2.896784514309e+44       2.896784514309e+44       9.655947110935e+43      -7.401401088711e+52       2.787226997180e-05       8.432738881246e+00 
       8.820019189625e+13       9.716206315922e-26       5.255060386844e-09       1.678414234832e+22       1.152959485625e+04       1.307207457078e-10       1.016912478807e+18       3.033959308590e-09       1.665164685981e+44       1.681981083325e+33       9.190127215446e+33       2.985121549152e-08       5.317847724871e+37       1.151909125811e+44       2.817074343685e+44       2.817074343685e+44       9.390246571090e+43      -7.147704458276e+52       2.951181525768e-05       7.964253385957e+00 
       8.758708231987e+13       9.852709297494e-26       5.291440174915e-09       1.655160880393e+22       1.152959485625e+04       1.316357909280e-10       1.009843573789e+18       3.055197023591e-09       1.619344720811e+44       1.647148273799e+33       8.999805246912e+33       2.985121549152e-08       5.196831605064e+37       1.120212299384e+44       2.739557539984e+44       2.739557539984e+44       9.131857253664e+43      -6.902703746309e+52       3.115136054280e-05       7.545082153318e+00 
       8.697823467699e+13       9.991130009391e-26       5.329638952389e-09       1.632229686294e+22       1.152959485625e+04       1.325572414647e-10       1.002823807137e+18       3.076583402588e-09       1.574785573400e+44       1.613036830662e+33       8.813424731076e+33       2.985121549152e-08       5.078569400377e+37       1.089387667458e+44       2.664173748819e+44       2.664173748819e+44       8.880577977382e+43      -6.666100884213e+52       3.279090582717e-05       7.167828043933e+00 
