# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       9.145490403872e+00 
       2.333031646003e-05       1.980232994333e+01 
       3.625588232309e-05       3.026026528259e+01 
       4.926151484748e-05       4.063683624739e+01 
       6.238256282054e-05       5.099821020002e+01 
       7.565526530539e-05       6.139354508602e+01 
       8.911707687974e-05       7.186460083893e+01 
       1.028070072767e-04       8.244966465424e+01 
       1.167659797859e-04       9.318555494925e+01 
       1.310372128073e-04       1.041088263887e+02 
       1.456666289547e-04       1.152566012883e+02 
       1.607032960497e-04       1.266672118807e+02 
       1.761999041630e-04       1.383807443871e+02 
       1.922132824965e-04       1.504395331248e+02 
       2.088049592348e-04       1.628886318943e+02 
       2.260417664219e-04       1.757762788722e+02 
       2.439964902501e-04       1.891543603806e+02 
       2.627485646742e-04       2.030788795186e+02 
       2.823848027128e-04       2.176104240640e+02 
       3.030001548299e-04       2.328146260513e+02 
       3.246984770434e-04       2.487626006651e+02 
       3.475932824573e-04       2.655313405834e+02 
       3.718084384017e-04       2.832040364668e+02 
       3.974787570252e-04       3.018702818546e+02 
       4.247504100439e-04       3.216261106240e+02 
       4.537810789379e-04       3.425737985739e+02 
       4.847397315668e-04       3.648213526144e+02 
       5.178058974855e-04       3.884815950254e+02 
       5.531683013105e-04       4.136707562190e+02 
       5.910227121702e-04       4.405064780281e+02 
       6.315688849627e-04       4.691051759218e+02 
       6.750065137883e-04       4.995787239510e+02 
       7.215301959429e-04       5.320305141077e+02 
       7.713235180257e-04       5.665510216847e+02 
       8.245525173319e-04       6.032131213573e+02 
       8.813589235833e-04       6.420674823717e+02 
       9.418537183337e-04       6.831384836205e+02 
       1.006111625261e-03       7.264210844269e+02 
       1.074167130425e-03       7.718790523350e+02 
       1.146012510269e-03       8.194448218484e+02 
       1.221598126720e-03       8.690210528284e+02 
       1.300834972303e-03       9.204837883334e+02 
       1.383599172303e-03       9.736841219382e+02 
       1.469737934874e-03       1.028456582362e+03 
       1.559076324033e-03       1.084630716652e+03 
       1.651424225675e-03       1.142025577532e+03 
       1.746582964833e-03       1.200459025393e+03 
       1.844351177716e-03       1.259751970720e+03 
       1.944529704896e-03       1.319731795173e+03 
       2.046925420592e-03       1.380234895707e+03 
       2.151354028418e-03       1.441108499389e+03 
       2.257641930146e-03       1.502211692387e+03 
       2.365627314046e-03       1.563416102455e+03 
       2.475160621195e-03       1.624605321798e+03 
       2.586104540896e-03       1.685675214807e+03 
       2.698333668320e-03       1.746532687770e+03 
       2.811733934794e-03       1.807095135431e+03 
       2.926201898116e-03       1.867290287736e+03 
       3.041643959153e-03       1.927053570141e+03 
       3.157975553037e-03       1.986328911696e+03 
       3.275120348689e-03       2.045067967773e+03 
       3.393009479076e-03       2.103228065048e+03 
       3.511580816065e-03       2.160773025420e+03 
       3.630778297517e-03       2.217671285555e+03 
       3.750551309848e-03       2.273896145751e+03 
       3.870854126296e-03       2.329424720691e+03 
       3.991645399134e-03       2.384237684579e+03 
       4.112887702883e-03       2.438319259678e+03 
       4.234547124897e-03       2.491655393398e+03 
       4.356592899374e-03       2.544235604748e+03 
       4.478997080815e-03       2.596051048337e+03 
       4.601734253050e-03       2.647095111549e+03 
       4.724781270161e-03       2.697362472757e+03 
       4.848117025885e-03       2.746849579841e+03 
       4.971722248393e-03       2.795554762941e+03 
       5.095579317586e-03       2.843476476811e+03 
       5.219672102396e-03       2.890615813547e+03 
       5.343985815788e-03       2.936972607530e+03 
       5.468506885453e-03       2.982549406394e+03 
       5.593222838389e-03       3.027349805444e+03 
       5.718122197776e-03       3.071375583250e+03 
       5.843194390744e-03       3.114631749861e+03 
