# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ULAfld         14:(.)w_ULAfld           15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       2.077991153761e+04       1.638649698462e-06       2.123568007143e+01       1.027366562092e+03       1.265655659572e+04       6.090472293677e-01       2.630147829864e+08       1.216503146751e+01       5.131418627094e+05       2.199917010735e+04       1.202006217104e+05       2.985121549152e-08       4.516482180841e+04      -8.894075753832e-03       3.549755765702e+05       1.055482052906e+06       1.055482052906e+06       2.889707804132e+05      -5.722397867998e+04       8.832202259829e-04       2.182480315613e-01 
       2.063541149456e+04       1.660950279615e-06       2.137727157940e+01       1.013762135191e+03       1.265641500421e+04       6.133050316207e-01       2.611829880728e+08       1.224549159696e+01       4.990175145288e+05       2.154344015863e+04       1.177105721812e+05       2.985121549152e-08       4.423734796595e+04      -8.711433106651e-03       3.452047919131e+05       1.027713666748e+06       1.027713666748e+06       2.810220647830e+05      -5.529647491791e+04       8.845692066759e-04       2.191916789934e-01 
       2.049191598039e+04       1.683550128920e-06       2.151976544009e+01       1.000341371110e+03       1.265627251035e+04       6.175925633259e-01       2.593639291795e+08       1.232645563326e+01       4.852819184214e+05       2.109715023259e+04       1.152721017157e+05       2.985121549152e-08       4.332875453798e+04      -8.532508482260e-03       3.357029338460e+05       1.000682858754e+06       1.000682858754e+06       2.732919144568e+05      -5.343408187574e+04       8.859260954729e-04       2.201391861456e-01 
       2.034941801243e+04       1.706453182060e-06       2.166316689883e+01       9.871017610564e+02       1.265612910889e+04       6.219100315857e-01       2.575575177852e+08       1.240792638475e+01       4.719243751017e+05       2.066010480046e+04       1.128841419699e+05       2.985121549152e-08       4.243866387251e+04      -8.357227511596e-03       3.264626009360e+05       9.743698866807e+05       9.743698866807e+05       2.657743224433e+05      -5.163459473375e+04       8.872909463583e-04       2.210905523774e-01 
       2.020791065656e+04       1.729663424995e-06       2.180748122559e+01       9.740408307124e+02       1.265598479456e+04       6.262576449392e-01       2.557636659841e+08       1.248990667125e+01       4.589344797393e+05       2.023211238324e+04       1.105456467272e+05       2.985121549152e-08       4.156670559985e+04      -8.185517259662e-03       3.174765954452e+05       9.487555398948e+05       9.487555398948e+05       2.584634467420e+05      -4.989588348745e+04       8.886638136638e-04       2.220457768519e-01 
       2.006738702687e+04       1.753184894578e-06       2.195271371496e+01       9.611561397560e+02       1.265583956207e+04       6.306356133718e-01       2.539822864817e+08       1.257239932406e+01       4.463021138549e+05       1.981298546777e+04       1.082555914402e+05       2.985121549152e-08       4.071251650323e+04      -8.017306200053e-03       3.087379177245e+05       9.238211249906e+05       9.238211249906e+05       2.513536058155e+05      -4.821589040458e+04       8.900447520703e-04       2.230048585344e-01 
       1.992784028531e+04       1.777021679175e-06       2.209886968628e+01       9.484452813952e+02       1.265569340610e+04       6.350441483257e-01       2.522132925901e+08       1.265540718597e+01       4.340174374408e+05       1.940254042467e+04       1.060129727815e+05       2.985121549152e-08       3.987574039137e+04      -7.852524189855e-03       3.002397607624e+05       8.995484518008e+05       8.995484518008e+05       2.444392741850e+05      -4.659262756858e+04       8.914338166102e-04       2.239677961908e-01 
       1.978926364136e+04       1.801177919301e-06       2.224595448361e+01       9.359058819057e+02       1.265554632131e+04       6.394834627091e-01       2.504565982241e+08       1.273893311124e+01       4.220708812965e+05       1.900059742783e+04       1.038168082045e+05       2.985121549152e-08       3.905602797280e+04      -7.691102444895e-03       2.919755048840e+05       8.759198197857e+05       8.759198197857e+05       2.377150781479e+05      -4.502417450584e+04       8.928310626692e-04       2.249345883865e-01 
       1.965165035173e+04       1.825657808255e-06       2.239397347587e+01       9.235356001757e+02       1.265539830231e+04       6.439537709071e-01       2.487121178972e+08       1.282297996563e+01       4.104531395764e+05       1.860698037567e+04       1.016661355130e+05       2.985121549152e-08       3.825303673200e+04      -7.532973515357e-03       2.839387125948e+05       8.529180047919e+05       8.529180047919e+05       2.311757916111e+05      -4.350867589351e+04       8.942365459884e-04       2.259052334840e-01 
       1.951499371996e+04       1.850465592767e-06       2.254293205682e+01       9.113321272571e+02       1.265524934373e+04       6.484552887915e-01       2.469797667169e+08       1.290755062634e+01       3.991551625425e+05       1.822151681400e+04       9.956001243960e+04       2.985121549152e-08       3.746643080739e+04      -7.378071261749e-03       2.761231235674e+05       8.305262461709e+05       8.305262461709e+05       2.248163320402e+05      -4.204433934551e+04       8.956503226667e-04       2.268797296425e-01 
