# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.454922577763e+05       3.246122802675e-08       2.952877986441e+00       5.184717031857e+04       1.152664197837e+04       7.922457820065e-02       1.677048692653e+09       1.702929514428e+00       1.232964423491e+09       7.549898659049e+06       4.125167032391e+07       2.985121549152e-08       5.534366474230e+08       1.000000000000e-01       8.529264301460e+08       2.688129070043e+09       2.688129070043e+09       7.506406159545e+08      -1.056171132010e+09       4.873981441935e-03       6.941126923228e-02 
       1.444805995530e+05       3.290312041387e-08       2.972521349777e+00       5.115767078366e+04       1.152662233500e+04       7.977917167766e-02       1.665384832405e+09       1.714244572192e+00       1.199027754802e+09       7.393501073072e+06       4.039713413110e+07       2.985121549152e-08       5.408387914716e+08       1.000000000000e-01       8.294500985310e+08       2.617107280009e+09       2.617107280009e+09       7.302431635916e+08      -1.020845520659e+09       4.876344592184e-03       6.952875510431e-02 
       1.434759745625e+05       3.335096859709e-08       2.992291037906e+00       5.047745417969e+04       1.152660256531e+04       8.033764721106e-02       1.653802063056e+09       1.725632213236e+00       1.166025137550e+09       7.240343121747e+06       3.956029888326e+07       2.985121549152e-08       5.285276862674e+08       1.000000000000e-01       8.066199146405e+08       2.547973380463e+09       2.547973380463e+09       7.104011193568e+08      -9.867050026192e+08       4.878712903518e-03       6.964701869107e-02 
       1.424783339130e+05       3.380485182775e-08       3.012187818325e+00       4.980639436936e+04       1.152658266853e+04       8.090003196933e-02       1.642299820906e+09       1.737092876024e+00       1.133930864396e+09       7.090357702019e+06       3.874079793796e+07       2.985121549152e-08       5.164968051004e+08       1.000000000000e-01       7.844180949389e+08       2.480676920076e+09       2.480676920076e+09       6.910993336218e+08      -9.537097139184e+08       4.881086408904e-03       6.976606326355e-02 
       1.414876290526e+05       3.426485039479e-08       3.032212462751e+00       4.914436694057e+04       1.152656264389e+04       8.146635331098e-02       1.630877546173e+09       1.748627001398e+00       1.102719935511e+09       6.943479100694e+06       3.793827224680e+07       2.985121549152e-08       5.047397698093e+08       1.000000000000e-01       7.628273453209e+08       2.415168801989e+09       2.415168801989e+09       6.723230705917e+08      -9.218211347185e+08       4.883465141488e-03       6.988589209647e-02 
       1.405038117669e+05       3.473104563804e-08       3.052365747148e+00       4.849124918276e+04       1.152654249060e+04       8.203663878590e-02       1.619534682966e+09       1.760235032588e+00       1.072368039098e+09       6.799642965655e+06       3.715237019815e+07       2.985121549152e-08       4.932503474002e+08       1.000000000000e-01       7.418308476422e+08       2.351401247305e+09       2.351401247305e+09       6.540579969869e+08      -8.910020438998e+08       4.885849134595e-03       7.000650846815e-02 
       1.395268341766e+05       3.520351996170e-08       3.072648451736e+00       4.784692006351e+04       1.152652220790e+04       8.261091613670e-02       1.608270679257e+09       1.771917415225e+00       1.042851532460e+09       6.658786277674e+06       3.638274746307e+07       2.985121549152e-08       4.820224467434e+08       1.000000000000e-01       7.214122466202e+08       2.289327759564e+09       2.289327759564e+09       6.362901710344e+08      -8.612164751811e+08       4.888238421731e-03       7.012791566044e-02 
       1.385566487353e+05       3.568235684801e-08       3.093061361031e+00       4.721126020550e+04       1.152650179499e+04       8.318921330003e-02       1.597084986857e+09       1.783674597348e+00       1.014147423584e+09       6.520847322800e+06       3.562906684453e+07       2.985121549152e-08       4.710501153439e+08       1.000000000000e-01       7.015556370962e+08       2.228903090191e+09       2.228903090191e+09       6.190060317611e+08      -8.324296747252e+08       4.890633036585e-03       7.025011695856e-02 
       1.375932082270e+05       3.616764087102e-08       3.113605263839e+00       4.658415186374e+04       1.152648125109e+04       8.377155840797e-02       1.585977061387e+09       1.795507029420e+00       9.862333532354e+08       6.385765665328e+06       3.489099812964e+07       2.985121549152e-08       4.603275361867e+08       1.000000000000e-01       6.822455516473e+08       2.170083204864e+09       2.170083204864e+09       6.021923885796e+08      -8.046080601792e+08       4.893033013025e-03       7.037311565103e-02 
       1.366364657641e+05       3.665945771063e-08       3.134280953298e+00       4.596547890321e+04       1.152646057540e+04       8.435797978938e-02       1.574946362252e+09       1.807415164330e+00       9.590875775431e+08       6.253482121325e+06       3.416821794504e+07       2.985121549152e-08       4.498490246529e+08       1.000000000000e-01       6.634669485395e+08       2.112825250802e+09       2.112825250802e+09       5.858364111595e+08      -7.777191811019e+08       4.895438385105e-03       7.049691502956e-02 
       1.356863747847e+05       3.715789416673e-08       3.155089226879e+00       4.535512677670e+04       1.152643976712e+04       8.494850597126e-02       1.563992352615e+09       1.819399457412e+00       9.326889510628e+08       6.123938732700e+06       3.346040961522e+07       2.985121549152e-08       4.396090255069e+08       1.000000000000e-01       6.452052000125e+08       2.057087524930e+09       2.057087524930e+09       5.699256195758e+08      -7.517316807296e+08       4.897849187062e-03       7.062151838890e-02 
       1.347428890508e+05       3.766303817354e-08       3.176030886423e+00       4.475298250299e+04       1.152641882547e+04       8.554316568018e-02       1.553114499372e+09       1.831460366451e+00       9.070169103091e+08       5.997078741820e+06       3.276726302380e+07       2.985121549152e-08       4.296021099514e+08       1.000000000000e-01       6.274460808867e+08       2.002829442913e+09       2.002829442913e+09       5.544478747271e+08      -7.266152590364e+08       4.900265453315e-03       7.074692902677e-02 
       1.338059626457e+05       3.817497881414e-08       3.197106738144e+00       4.415893464540e+04       1.152639774961e+04       8.614198784360e-02       1.542312273122e+09       1.843598351693e+00       8.820514577387e+08       5.872846566641e+06       3.208847447768e+07       2.985121549152e-08       4.198229727496e+08       1.000000000000e-01       6.101757574839e+08       1.950011509016e+09       1.950011509016e+09       5.393913690158e+08      -7.023406370441e+08       4.902687218470e-03       7.087315024371e-02 
       1.328755499718e+05       3.869380633518e-08       3.218317592664e+00       4.357287329052e+04       1.152637653876e+04       8.674500159136e-02       1.531585148146e+09       1.855813875859e+00       8.577731461755e+08       5.751187776360e+06       3.142374657400e+07       2.985121549152e-08       4.102664294133e+08       1.000000000000e-01       5.933807768526e+08       1.898595286792e+09       1.898595286792e+09       5.247446172840e+08      -6.788795223405e+08       4.905114517319e-03       7.100018534299e-02 
       1.319516057486e+05       3.921961216174e-08       3.239664265022e+00       4.299469002733e+04       1.152635519209e+04       8.735223625703e-02       1.520932602380e+09       1.868107404152e+00       8.341630636639e+08       5.632049067577e+06       3.077278806985e+07       2.985121549152e-08       4.009274134549e+08       1.000000000000e-01       5.770480562903e+08       1.848543370547e+09       1.848543370547e+09       5.104964479969e+08      -6.562045757635e+08       4.907547384839e-03       7.112803763048e-02 
       1.310340850104e+05       3.975248891244e-08       3.261147574696e+00       4.242427792655e+04       1.152633370878e+04       8.796372137935e-02       1.510354117388e+09       1.880479404269e+00       8.112028187389e+08       5.515378240935e+06       3.013531375471e+07       2.985121549152e-08       3.918009737011e+08       1.000000000000e-01       5.611648731538e+08       1.799819357590e+09       1.799819357590e+09       4.966359946677e+08      -6.342893792134e+08       4.909985856196e-03       7.125671041453e-02 
       1.301229431039e+05       4.029253041466e-08       3.282768345631e+00       4.186153152029e+04       1.152631208801e+04       8.857948670369e-02       1.499849178338e+09       1.892930346414e+00       7.888745261019e+08       5.401124178261e+06       2.951104432548e+07       2.985121549152e-08       3.828822716690e+08       1.000000000000e-01       5.457188549498e+08       1.752387821224e+09       1.752387821224e+09       4.831526875175e+08      -6.131084045532e+08       4.912429966743e-03       7.138620700586e-02 
       1.292181356864e+05       4.083983172001e-08       3.304527406244e+00       4.130634678199e+04       1.152629032895e+04       8.919956218344e-02       1.489417273976e+09       1.905460703305e+00       7.671607926902e+08       5.289236820169e+06       2.889970626416e+07       2.985121549152e-08       3.741665790010e+08       1.000000000000e-01       5.306979696987e+08       1.706214284474e+09       1.706214284474e+09       4.700362453631e+08      -5.926369835619e+08       4.914879752021e-03       7.151653071743e-02 
       1.283196187231e+05       4.139448911997e-08       3.326425589459e+00       4.075862110663e+04       1.152626843076e+04       8.982397798152e-02       1.479057896604e+09       1.918070950185e+00       7.460447041304e+08       5.179667144130e+06       2.830103171797e+07       2.985121549152e-08       3.656492749585e+08       1.000000000000e-01       5.160905165631e+08       1.661265194514e+09       1.661265194514e+09       4.572766677270e+08      -5.728512789036e+08       4.917335247760e-03       7.164768486434e-02 
       1.274273484858e+05       4.195660016175e-08       3.348463732720e+00       4.021825329122e+04       1.152624639262e+04       9.045276447182e-02       1.468770542052e+09       1.930761564836e+00       7.255098115642e+08       5.072367142999e+06       2.771475838209e+07       2.985121549152e-08       3.573258439726e+08       1.000000000000e-01       5.018851167346e+08       1.617507897797e+09       1.617507897797e+09       4.448642271635e+08      -5.537282560787e+08       4.919796489882e-03       7.177967276368e-02 
       1.265412815498e+05       4.252626366427e-08       3.370642678010e+00       3.968514351552e+04       1.152622421367e+04       9.108595224066e-02       1.458554709653e+09       1.943533027586e+00       7.055401188370e+08       4.967289803984e+06       2.714062938469e+07       2.985121549152e-08       3.491918732504e+08       1.000000000000e-01       4.880707045712e+08       1.574910615847e+09       1.574910615847e+09       4.327894617944e+08      -5.352456563245e+08       4.922263514498e-03       7.191249773441e-02 
       1.256613747927e+05       4.310357973445e-08       3.392963271875e+00       3.915919332309e+04       1.152620189308e+04       9.172357208829e-02       1.448409902224e+09       1.956385821323e+00       6.861200700389e+08       4.864389088049e+06       2.657839317444e+07       2.985121549152e-08       3.412430504356e+08       1.000000000000e-01       4.746365189783e+08       1.533442421715e+09       1.533442421715e+09       4.210431680493e+08      -5.173819704312e+08       4.924736357911e-03       7.204616309725e-02 
       1.247875853913e+05       4.368864978362e-08       3.415426365440e+00       3.864030560257e+04       1.152617942999e+04       9.236565503039e-02       1.438335626035e+09       1.969320431501e+00       6.672345373890e+08       4.763619909748e+06       2.602780341029e+07       2.985121549152e-08       3.334751613232e+08       1.000000000000e-01       4.615720950277e+08       1.493073217060e+09       1.493073217060e+09       4.096163936046e+08      -5.001164134443e+08       4.927215056618e-03       7.218067217456e-02 
       1.239198708207e+05       4.428157654415e-08       3.438032814434e+00       3.812838456917e+04       1.152615682354e+04       9.301223229954e-02       1.428331390789e+09       1.982337346159e+00       6.488688094523e+08       4.664938117473e+06       2.548861885355e+07       2.985121549152e-08       3.258840876251e+08       1.000000000000e-01       4.488672558064e+08       1.453773709855e+09       1.453773709855e+09       3.985004305154e+08      -4.834289002223e+08       4.929699647305e-03       7.231602829017e-02 
       1.230581888512e+05       4.488246408634e-08       3.460783479210e+00       3.762333574652e+04       1.152613407287e+04       9.366333534681e-02       1.418396709597e+09       1.995437055921e+00       6.310085796819e+08       4.568300474114e+06       2.496060326225e+07       2.985121549152e-08       3.184658047871e+08       1.000000000000e-01       4.365121044902e+08       1.415515392696e+09       1.415515392696e+09       3.876868085361e+08      -4.673000218208e+08       4.932190166855e-03       7.245223476931e-02 
       1.222024975467e+05       4.549141783542e-08       3.483679224759e+00       3.712506594866e+04       1.152611117713e+04       9.431899584318e-02       1.408531098957e+09       2.008620054017e+00       6.136399352754e+08       4.473664638115e+06       2.444352528760e+07       2.985121549152e-08       3.112163798560e+08       1.000000000000e-01       4.244970166355e+08       1.378270521693e+09       1.378270521693e+09       3.771672886226e+08      -4.517110226754e+08       4.934686652345e-03       7.258929493844e-02 
       1.213527552627e+05       4.610854458887e-08       3.506720920739e+00       3.663348326236e+04       1.152608813543e+04       9.497924568118e-02       1.398734078724e+09       2.021886836286e+00       5.967493463393e+08       4.380989144929e+06       2.393715837266e+07       2.985121549152e-08       3.041319693942e+08       1.000000000000e-01       4.128126326826e+08       1.342012095934e+09       1.342012095934e+09       3.669338566134e+08      -4.366437785557e+08       4.937189141046e-03       7.272721212514e-02 
       1.205089206442e+05       4.673395253387e-08       3.529909441490e+00       3.614849702963e+04       1.152606494691e+04       9.564411697637e-02       1.389005172092e+09       2.035237901193e+00       5.803236553503e+08       4.290233388850e+06       2.344128065313e+07       2.985121549152e-08       2.972088174426e+08       1.000000000000e-01       4.014498506663e+08       1.306713837501e+09       1.306713837501e+09       3.569787170831e+08      -4.220807752652e+08       4.939697670424e-03       7.286598965796e-02 
       1.196709526237e+05       4.736775126501e-08       3.553245666059e+00       3.567001783051e+04       1.152604161069e+04       9.631364206892e-02       1.379343905573e+09       2.048673749836e+00       5.643500669075e+08       4.201357605227e+06       2.295567486008e+07       2.985121549152e-08       2.904432535297e+08       1.000000000000e-01       3.903998191264e+08       1.272350172029e+09       1.272350172029e+09       3.472942873642e+08      -4.080050880606e+08       4.942212278145e-03       7.300563086631e-02 
       1.188388104190e+05       4.801005180224e-08       3.576730478215e+00       3.519795746607e+04       1.152601812587e+04       9.698785352518e-02       1.369749808964e+09       2.062194885958e+00       5.488161377661e+08       4.114322853043e+06       2.248012822482e+07       2.985121549152e-08       2.838316907258e+08       1.000000000000e-01       3.796539302132e+08       1.238896209783e+09       1.238896209783e+09       3.378731917323e+08      -3.944003617677e+08       4.944733002068e-03       7.314613908030e-02 
       1.180124535315e+05       4.866096660896e-08       3.600364766477e+00       3.473222894164e+04       1.152599449159e+04       9.766678413926e-02       1.360222415336e+09       2.075801815957e+00       5.337097671460e+08       4.029090997856e+06       2.201443238571e+07       2.985121549152e-08       2.773706237418e+08       1.000000000000e-01       3.692038129836e+08       1.206327727255e+09       1.206327727255e+09       3.287082557507e+08      -3.812507915684e+08       4.947259880254e-03       7.328751763065e-02 
       1.171918417441e+05       4.932060961041e-08       3.624149424124e+00       3.427274645034e+04       1.152597070693e+04       9.835046693463e-02       1.350761261004e+09       2.089495048899e+00       5.190191873063e+08       3.945624695094e+06       2.155838329682e+07       2.985121549152e-08       2.710566270707e+08       1.000000000000e-01       3.590413268804e+08       1.174621149249e+09       1.174621149249e+09       3.197925007693e+08      -3.685411044382e+08       4.949792950960e-03       7.342976984848e-02 
       1.163769351194e+05       4.998909621230e-08       3.648085349228e+00       3.381942535670e+04       1.152594677100e+04       9.903893516568e-02       1.341365885505e+09       2.103275096530e+00       5.047329543801e+08       3.863887373696e+06       2.111178113859e+07       2.985121549152e-08       2.648863531721e+08       1.000000000000e-01       3.491585553926e+08       1.143753531457e+09       1.143753531457e+09       3.111191385748e+08      -3.562565412104e+08       4.952332252643e-03       7.357289906527e-02 
       1.155676939974e+05       5.066654331959e-08       3.672173444673e+00       3.337218218063e+04       1.152592268291e+04       9.973222231939e-02       1.332035831578e+09       2.117142473281e+00       4.908399394606e+08       3.783843220085e+06       2.067443023030e+07       2.985121549152e-08       2.588565306977e+08       1.000000000000e-01       3.395477998886e+08       1.113702543497e+09       1.113702543497e+09       3.026815661861e+08      -3.443828392468e+08       4.954877823961e-03       7.371690861262e-02 
       1.147640789939e+05       5.135306935556e-08       3.696414618164e+00       3.293093458159e+04       1.152589844173e+04       1.004303621169e-01       1.322770645141e+09       2.131097696285e+00       4.773293199330e+08       3.705457162489e+06       2.024613894428e+07       2.985121549152e-08       2.529639627569e+08       1.000000000000e-01       3.302015736203e+08       1.084446452417e+09       1.084446452417e+09       2.944733607934e+08      -3.329062156934e+08       4.957429703773e-03       7.386180182219e-02 
       1.139660509985e+05       5.204879428111e-08       3.720809782259e+00       3.249560134291e+04       1.152587404657e+04       1.011333885153e-01       1.313569875268e+09       2.145141285386e+00       4.641905710453e+08       3.628694855567e+06       1.982671962206e+07       2.985121549152e-08       2.472055252225e+08       1.000000000000e-01       3.211125958916e+08       1.055964106637e+09       1.055964106637e+09       2.864882748346e+08      -3.218133513030e+08       4.959987931138e-03       7.400758202553e-02 
       1.131735711726e+05       5.275383961433e-08       3.745359854393e+00       3.206610235638e+04       1.152584949650e+04       1.018413357089e-01       1.304433074166e+09       2.159273763150e+00       4.514134577105e+08       3.553522665370e+06       1.941598849207e+07       2.985121549152e-08       2.415781650743e+08       1.000000000000e-01       3.122737863878e+08       1.028234920330e+09       1.028234920330e+09       2.787202312069e+08      -3.110913748038e+08       4.962552545320e-03       7.415425255392e-02 
