# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       9.145490403872e+00 
       2.333031646003e-05       1.980232994333e+01 
       3.625588232309e-05       3.026026528259e+01 
       4.926151484748e-05       4.063683624739e+01 
       6.238256282054e-05       5.099821020002e+01 
       7.565526530539e-05       6.139354508602e+01 
       8.911707687974e-05       7.186460083893e+01 
       1.028070072767e-04       8.244966465424e+01 
       1.167659797859e-04       9.318555494925e+01 
       1.310372128073e-04       1.041088263887e+02 
       1.456666289547e-04       1.152566012883e+02 
       1.607032960497e-04       1.266646509974e+02 
       1.761999041630e-04       1.383776780812e+02 
       1.922132824965e-04       1.504358979876e+02 
       2.088049592348e-04       1.628843576956e+02 
       2.260417664219e-04       1.757712874432e+02 
       2.439964902501e-04       1.891485643225e+02 
       2.627485646742e-04       2.030721807051e+02 
       2.823848027128e-04       2.176027119034e+02 
       3.030001548299e-04       2.328057754661e+02 
       3.246984770434e-04       2.487524697444e+02 
       3.475932824573e-04       2.655197678574e+02 
       3.718084384017e-04       2.831908377484e+02 
       3.974787570252e-04       3.018552465930e+02 
       4.247504100439e-04       3.216089977122e+02 
       4.537810789379e-04       3.425543315593e+02 
       4.847397315668e-04       3.647992142734e+02 
       5.178058974855e-04       3.884564212815e+02 
       5.531683013105e-04       4.136421294152e+02 
       5.910227121702e-04       4.404739196123e+02 
       6.315688849627e-04       4.690681386603e+02 
       6.750065137883e-04       4.995365838609e+02 
       7.215301959429e-04       5.319825623827e+02 
       7.713235180257e-04       5.664964569735e+02 
       8.245525173319e-04       6.031510428274e+02 
       8.813589235833e-04       6.419968840418e+02 
       9.418537183337e-04       6.830582504423e+02 
       1.006111625261e-03       7.263299905476e+02 
       1.074167130425e-03       7.717757618531e+02 
       1.146012510269e-03       8.193278922094e+02 
       1.221598126720e-03       8.688889408100e+02 
       1.300834972303e-03       9.203348583673e+02 
       1.383599172303e-03       9.735166568718e+02 
       1.469737934874e-03       1.028268795135e+03 
       1.559076324033e-03       1.084420761484e+03 
       1.651424225675e-03       1.141791563439e+03 
       1.746582964833e-03       1.200199028709e+03 
       1.844351177716e-03       1.259464046982e+03 
       1.944529704896e-03       1.319413990104e+03 
       2.046925420592e-03       1.379885255106e+03 
       2.151354028418e-03       1.440725077829e+03 
       2.257641930146e-03       1.501792560730e+03 
       2.365627314046e-03       1.562959354156e+03 
       2.475160621195e-03       1.624109078323e+03 
       2.586104540896e-03       1.685137629891e+03 
       2.698333668320e-03       1.745951951043e+03 
       2.811733934794e-03       1.806469475271e+03 
       2.926201898116e-03       1.866617973232e+03 
       3.041643959153e-03       1.926332913237e+03 
       3.157975553037e-03       1.985558268269e+03 
       3.275120348689e-03       2.044245738297e+03 
       3.393009479076e-03       2.102352695520e+03 
       3.511580816065e-03       2.159843007360e+03 
       3.630778297517e-03       2.216685156364e+03 
       3.750551309848e-03       2.272852488516e+03 
       3.870854126296e-03       2.328322164106e+03 
       3.991645399134e-03       2.383074902664e+03 
       4.112887702883e-03       2.437094971174e+03 
       4.234547124897e-03       2.490368361909e+03 
       4.356592899374e-03       2.542884637616e+03 
       4.478997080815e-03       2.594634996383e+03 
       4.601734253050e-03       2.645612868302e+03 
       4.724781270161e-03       2.695812974080e+03 
       4.848117025885e-03       2.745231803129e+03 
       4.971722248393e-03       2.793867726083e+03 
       5.095579317586e-03       2.841719238215e+03 
       5.219672102396e-03       2.888787470347e+03 
       5.343985815788e-03       2.935072296431e+03 
       5.468506885453e-03       2.980576301630e+03 
       5.593222838389e-03       3.025303117780e+03 
       5.718122197776e-03       3.069254561160e+03 
       5.843194390744e-03       3.112435676782e+03 
