# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       7.512624933457e+13       1.339221495663e-25       6.170012056828e-09       1.217708864987e+22       1.416504567932e+04       1.885498850906e-10       1.064166753540e+18       3.561948305036e-09       8.764878518120e+43       1.039411790634e+33       5.679211662878e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       6.063270279898e+43       1.482814879869e+44       1.482814879869e+44       4.942716266006e+43      -3.204626594589e+52       3.167089333875e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036218455e-25       6.211848813109e-09       1.200838287881e+22       1.416504567932e+04       1.898697342862e-10       1.056769367964e+18       3.586881943171e-09       8.523697311413e+43       1.017886201986e+33       5.561598629041e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       5.896428624344e+43       1.442012593641e+44       1.442012593641e+44       4.806708645252e+43      -3.094782124677e+52       3.244335415189e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115269288e-25       6.255504558794e-09       1.184201441825e+22       1.416504567932e+04       1.911988224262e-10       1.049423404135e+18       3.611990116773e-09       8.289152634162e+43       9.968063952409e+32       5.446421289901e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       5.734177913402e+43       1.402333054821e+44       1.402333054821e+44       4.674443515855e+43      -2.988702775978e+52       3.321581496502e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462361706e-25       6.299160304479e-09       1.167795088625e+22       1.416504567932e+04       1.925372141832e-10       1.042128504603e+18       3.637274047590e-09       8.061061870468e+43       9.761631385265e+32       5.333629203695e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       5.576391819075e+43       1.363745369017e+44       1.363745369017e+44       4.545817896514e+43      -2.886259492038e+52       3.398827577816e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081261426e-25       6.344635039568e-09       1.151616034950e+22       1.416504567932e+04       1.938849746825e-10       1.034884314402e+18       3.662734965923e-09       7.839247429430e+43       9.559473911558e+32       5.223172973281e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       5.422947489502e+43       1.326219491955e+44       1.326219491955e+44       4.420731639644e+43      -2.787327640051e+52       3.476073659130e-06       3.185701367918e+00 
       7.255115897971e+13       1.435975787067e-25       6.388290785253e-09       1.135661131711e+22       1.416504567932e+04       1.952421695052e-10       1.027690481035e+18       3.688374110685e-09       7.623536606878e+43       9.361502996691e+32       5.115004224499e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       5.273725453312e+43       1.289726206080e+44       1.289726206080e+44       4.299087353397e+43      -2.691786859228e+52       3.553319740444e-06       3.116446990354e+00 
       7.204683116158e+13       1.456149810900e-25       6.433765520342e-09       1.119927273447e+22       1.416504567932e+04       1.966088646918e-10       1.020546654454e+18       3.714192729459e-09       7.413761450905e+43       9.167631939567e+32       5.009075584990e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       5.128609526601e+43       1.254237097810e+44       1.254237097810e+44       4.180790325835e+43      -2.599520914370e+52       3.630565821758e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607259593e-25       6.477421266027e-09       1.104411397720e+22       1.416504567932e+04       1.979851267446e-10       1.013452487045e+18       3.740192078565e-09       7.209758631098e+43       8.977775834615e+32       4.905340663449e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.987486722469e+43       1.219724535415e+44       1.219724535415e+44       4.065748451189e+43      -2.510417554451e+52       3.707811903072e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352114983e-25       6.522896001115e-09       1.089110484523e+22       1.416504567932e+04       1.993710226318e-10       1.006407633609e+18       3.766373423115e-09       7.011369311369e+43       8.791851534608e+32       4.803754029303e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.850247163053e+43       1.186161647499e+44       1.186161647499e+44       3.953872158140e+43      -2.424368376056e+52       3.785057984386e-06       2.925644113394e+00 
       7.055478492449e+13       1.518388414846e-25       6.568370736204e-09       1.074021555688e+22       1.416504567932e+04       2.007666197902e-10       9.994117513499e+17       3.792738037076e-09       6.818439026289e+43       8.609777614246e+32       4.704271192824e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.716783993974e+43       1.153522302082e+44       1.153522302082e+44       3.845074340088e+43      -2.341268691498e+52       3.862304065700e-06       2.867131231126e+00 
       7.006433458242e+13       1.539720253686e-25       6.615664460696e-09       1.059141674306e+22       1.416504567932e+04       2.021719861288e-10       9.924644998509e+17       3.819287203336e-09       6.630817560821e+43       8.431474334498e+32       4.606848585634e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.586993301144e+43       1.121781086251e+44       1.121781086251e+44       3.739270287322e+43      -2.261017401449e+52       3.939550147014e-06       2.810912971692e+00 
       6.957729352772e+13       1.561351783530e-25       6.661139195785e-09       1.044467944158e+22       1.416504567932e+04       2.035871900317e-10       9.855655410635e+17       3.846022213759e-09       6.448358833359e+43       8.256863607683e+32       4.511443541634e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.460774029851e+43       1.090913286374e+44       1.090913286374e+44       3.636377621070e+43      -2.183516871951e+52       4.016796228328e-06       2.756856953006e+00 
       6.909363806129e+13       1.583287214737e-25       6.708432920277e-09       1.029997509152e+22       1.416504567932e+04       2.050123003619e-10       9.787145392885e+17       3.872944369255e-09       6.270920781994e+43       8.085868963263e+32       4.418014278312e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.338027906086e+43       1.060894868860e+44       1.060894868860e+44       3.536316229360e+43      -2.108672815627e+52       4.094042309642e-06       2.704840784082e+00 
       6.861334464875e+13       1.605530816817e-25       6.755726644769e-09       1.015727552764e+22       1.416504567932e+04       2.064473864644e-10       9.719111611603e+17       3.900054979839e-09       6.098365253901e+43       7.918415514365e+32       4.326519878446e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.218659360024e+43       1.031702461444e+44       1.031702461444e+44       3.439008204641e+43      -2.036394176974e+52       4.171288390956e-06       2.654751139932e+00 
       6.813638991932e+13       1.628086919262e-25       6.803020369262e-09       1.001655297490e+22       1.416504567932e+04       2.078925181697e-10       9.651550756309e+17       3.927355364698e-09       5.930557897776e+43       7.754429924972e+32       4.236920272186e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       4.102575451612e+43       1.003313334989e+44       1.003313334989e+44       3.344377783129e+43      -1.966593021582e+52       4.248534472269e-06       2.606482937388e+00 
       6.766275066466e+13       1.650959912391e-25       6.850314093754e-09       9.877780043072e+21       1.416504567932e+04       2.093477657969e-10       9.584459539532e+17       3.954846852251e-09       5.767368059232e+43       7.593840377815e+32       4.149176219505e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       3.989685798209e+43       9.757053857932e+43       9.757053857932e+43       3.252351285814e+43      -1.899184429157e+52       4.325780553583e-06       2.559938599220e+00 
       6.719240383780e+13       1.674154248200e-25       6.897607818246e-09       9.740929721418e+21       1.416504567932e+04       2.108132001574e-10       9.517834696656e+17       3.982530780216e-09       5.608668679066e+43       7.436576542916e+32       4.063249293011e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       3.879902504213e+43       9.488571183760e+43       9.488571183760e+43       3.162857061093e+43      -1.834086390204e+52       4.403026634897e-06       2.515027395725e+00 
       6.672532655193e+13       1.697674441233e-25       6.946720532142e-09       9.605975373399e+21       1.416504567932e+04       2.122888925585e-10       9.451672985755e+17       4.010408495677e-09       5.454336194339e+43       7.282569546789e+32       3.979101861122e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       3.773140092625e+43       9.227476287435e+43       9.227476287435e+43       3.075825428988e+43      -1.771219706253e+52       4.480272716211e-06       2.471664854420e+00 
       6.626149607938e+13       1.721525069457e-25       6.994014256634e-09       9.472890731514e+21       1.416504567932e+04       2.137749148065e-10       9.385971187443e+17       4.038481355147e-09       5.304250442161e+43       7.131751942274e+32       3.896697071582e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       3.669315438497e+43       8.973565881119e+43       8.973565881119e+43       2.991188626886e+43      -1.710507893507e+52       4.557518797525e-06       2.429772229769e+00 
       6.580088985043e+13       1.745710775158e-25       7.043126970530e-09       9.341649892180e+21       1.416504567932e+04       2.152713392101e-10       9.320726104710e+17       4.066750724632e-09       5.158294566141e+43       6.984057679005e+32       3.815998835324e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       3.568347704214e+43       8.726642270807e+43       8.726642270807e+43       2.908880756785e+43      -1.651877089793e+52       4.634764878839e-06       2.389276025940e+00 
       6.534348545226e+13       1.770236265838e-25       7.092239684425e-09       9.212227310694e+21       1.416504567932e+04       2.167782385846e-10       9.255934562771e+17       4.095217979704e-09       5.016354925399e+43       6.839422074474e+32       3.736971810663e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       3.470158276548e+43       8.486513202389e+43       8.486513202389e+43       2.828837733982e+43      -1.595255964701e+52       4.712010960153e-06       2.350107566498e+00 
