# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.012596170746e-09       3.326640798596e-14       4.019847609638e-12       2.230899874850e-16       9.361836134770e-11       1.005487150098e-11      -9.160647026854e-15 
   41       1.012038781185e-09       3.619057861928e-14       4.143752216328e-12       2.343746389103e-16       8.903276854996e-11       9.603978344095e-12      -6.938711453895e-15 
   42       1.011334653495e-09       3.929600349602e-14       4.266105362774e-12       2.459611560480e-16       8.474209054062e-11       9.178017661000e-12      -6.028577265546e-15 
   43       1.010538487251e-09       4.258380039510e-14       4.386674869651e-12       2.578513374568e-16       8.073517888597e-11       8.777799408441e-12      -6.206712425770e-15 
   44       1.009676335360e-09       4.605412537453e-14       4.505214063292e-12       2.700468909368e-16       7.698319416230e-11       8.402795284182e-12      -7.178596811012e-15 
   45       1.008754586793e-09       4.970691855495e-14       4.621459938828e-12       2.825489438920e-16       7.344996911358e-11       8.051557004492e-12      -8.613461685999e-15 
   46       1.007797155013e-09       5.354455107172e-14       4.735129885282e-12       2.953564276815e-16       7.013011523586e-11       7.723392973303e-12      -1.027175002927e-14 
   47       1.006814327162e-09       5.756986570925e-14       4.845921894862e-12       3.084671901673e-16       6.701991015652e-11       7.416996009786e-12      -1.190792466046e-14 
   48       1.005789522376e-09       6.178542467605e-14       4.953513859175e-12       3.218783933052e-16       6.410580061015e-11       7.129870087532e-12      -1.323214916296e-14 
   49       1.004676994545e-09       6.619349507680e-14       5.057562307457e-12       3.355864738186e-16       6.136367050135e-11       6.858245358609e-12      -1.390794662624e-14 
   50       1.003424793964e-09       7.079635591628e-14       5.157759280773e-12       3.495871176008e-16       5.876613632181e-11       6.598168915445e-12      -1.365567427805e-14 
   51       1.002056329596e-09       7.559735105719e-14       5.254024081684e-12       3.638752659698e-16       5.630846602923e-11       6.349323264477e-12      -1.260149098195e-14 
   52       1.000606975057e-09       8.060009696338e-14       5.346361391809e-12       3.784450431326e-16       5.398843035674e-11       6.112097447883e-12      -1.101906601464e-14 
   53       9.990996624174e-10       8.580818673705e-14       5.434809123974e-12       3.932897048423e-16       5.179854457971e-11       5.886472951225e-12      -9.234617781971e-15 
   54       9.975437736306e-10       9.122519072172e-14       5.519439896246e-12       4.084015997166e-16       4.972571433641e-11       5.671994056345e-12      -7.629552132493e-15 
   55       9.959411406774e-10       9.685437559838e-14       5.600311268586e-12       4.237729307129e-16       4.775525192404e-11       5.467993231203e-12      -6.552302913531e-15 
