# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       6.375817852815e-10       1.231282300596e-14       1.595157331478e-12       9.332876934711e-17       1.046146765721e-10       1.031099333113e-11      -1.750081506097e-14 
   41       6.338585742987e-10       1.335848737527e-14       1.630269722991e-12       9.801251956122e-17       9.937009591880e-11       9.846705259124e-12      -1.406345504138e-14 
   42       6.302232702521e-10       1.447192729499e-14       1.664155508431e-12       1.028350561927e-16       9.446845171798e-11       9.408277549528e-12      -1.207248526142e-14 
   43       6.267047021377e-10       1.565239690666e-14       1.696738896743e-12       1.077987918336e-16       8.989637158674e-11       8.996514064881e-12      -1.138108916894e-14 
   44       6.233046512244e-10       1.689851741626e-14       1.727935341382e-12       1.129061126168e-16       8.562012126004e-11       8.610833035556e-12      -1.178113824592e-14 
   45       6.200097239162e-10       1.820873584893e-14       1.757636154432e-12       1.181588707567e-16       8.159755999327e-11       8.249700866473e-12      -1.300959549749e-14 
   46       6.168372874023e-10       1.958295874731e-14       1.785659102971e-12       1.235567059847e-16       7.782208313677e-11       7.912370076398e-12      -1.477985003685e-14 
   47       6.137988750004e-10       2.102133911372e-14       1.811781426659e-12       1.290982044396e-16       7.428906338762e-11       7.597457470565e-12      -1.675264642660e-14 
   48       6.108852195540e-10       2.252380937887e-14       1.835751255856e-12       1.347813139679e-16       7.098260219016e-11       7.302350367954e-12      -1.852284393659e-14 
   49       6.080645039737e-10       2.409007027563e-14       1.857285830071e-12       1.406033050106e-16       6.787469289377e-11       7.023118861963e-12      -1.961584963971e-14 
   50       6.052986472740e-10       2.571989798455e-14       1.876136071330e-12       1.465607441717e-16       6.493360622233e-11       6.755644737510e-12      -1.962252677912e-14 
   51       6.026014329602e-10       2.741418966987e-14       1.892305100976e-12       1.526494972142e-16       6.215367150648e-11       6.499573031068e-12      -1.865536576510e-14 
   52       5.999931348886e-10       2.917418251008e-14       1.905885957260e-12       1.588646592658e-16       5.953213269729e-11       6.255281414122e-12      -1.700997002615e-14 
   53       5.974829814447e-10       3.100116399025e-14       1.917001733706e-12       1.652005046036e-16       5.706023928894e-11       6.022727521620e-12      -1.504028251417e-14 
   54       5.950682548137e-10       3.289647575328e-14       1.925806920140e-12       1.716504481362e-16       5.472284346779e-11       5.801418467066e-12      -1.316153528363e-14 
