# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
   61       2.196419773455e-10       2.912106991042e-14      -2.929561165616e-13       0.000000000000e+00 
   62       2.225470402811e-10       3.056303325208e-14      -3.368265556378e-13       0.000000000000e+00 
   63       2.254781652945e-10       3.204142548527e-14      -3.824342589475e-13       0.000000000000e+00 
   64       2.284372881578e-10       3.355546112407e-14      -4.297722327854e-13       0.000000000000e+00 
   65       2.314257410914e-10       3.510425582411e-14      -4.788316398960e-13       0.000000000000e+00 
   66       2.344442081356e-10       3.668682377104e-14      -5.296018004913e-13       0.000000000000e+00 
   67       2.374926805197e-10       3.830207506891e-14      -5.820701932683e-13       0.000000000000e+00 
   68       2.405709265315e-10       3.994893371809e-14      -6.362223856297e-13       0.000000000000e+00 
   69       2.436801114413e-10       4.162672514622e-14      -6.920418056526e-13       0.000000000000e+00 
   70       2.468214271507e-10       4.333486287043e-14      -7.495099255298e-13       0.000000000000e+00 
   71       2.499955758289e-10       4.507273531968e-14      -8.086063275010e-13       0.000000000000e+00 
   72       2.532027384417e-10       4.683970630724e-14      -8.693087030587e-13       0.000000000000e+00 
   73       2.564425432807e-10       4.863511550331e-14      -9.315928521561e-13       0.000000000000e+00 
   74       2.597140344912e-10       5.045827890748e-14      -9.954326824132e-13       0.000000000000e+00 
   75       2.630156406019e-10       5.230848932128e-14      -1.060800208325e-12       0.000000000000e+00 
   76       2.663458173698e-10       5.418485712224e-14      -1.127662660475e-12       0.000000000000e+00 
   77       2.697051812205e-10       5.608579802011e-14      -1.195973206360e-12       0.000000000000e+00 
   78       2.730947094816e-10       5.800945231502e-14      -1.265678528159e-12       0.000000000000e+00 
   79       2.765150832217e-10       5.995383355234e-14      -1.336721503529e-12       0.000000000000e+00 
   80       2.799666696060e-10       6.191682572044e-14      -1.409041145554e-12       0.000000000000e+00 
   81       2.834495042529e-10       6.389618044850e-14      -1.482572542686e-12       0.000000000000e+00 
   82       2.869632735901e-10       6.588951420429e-14      -1.557246798693e-12       0.000000000000e+00 
   83       2.905072972107e-10       6.789430549196e-14      -1.632990972602e-12       0.000000000000e+00 
   84       2.940808940325e-10       6.990814405824e-14      -1.709736410497e-12       0.000000000000e+00 
   85       2.976845891693e-10       7.192953211705e-14      -1.787445459455e-12       0.000000000000e+00 
   86       3.013190757145e-10       7.395721143083e-14      -1.866089092697e-12       0.000000000000e+00 
   87       3.049848376983e-10       7.598992452395e-14      -1.945638991284e-12       0.000000000000e+00 
   88       3.086821388947e-10       7.802641611596e-14      -2.026067625102e-12       0.000000000000e+00 
   89       3.124110116279e-10       8.006543455480e-14      -2.107348333844e-12       0.000000000000e+00 
   90       3.161712455791e-10       8.210573325002e-14      -2.189455407999e-12       0.000000000000e+00 
   91       3.199623765931e-10       8.414607210602e-14      -2.272364169836e-12       0.000000000000e+00 
   92       3.237836754850e-10       8.618521895525e-14      -2.356051054384e-12       0.000000000000e+00 
   93       3.276344077351e-10       8.822184068431e-14      -2.440485608316e-12       0.000000000000e+00 
   94       3.315146815656e-10       9.025415476816e-14      -2.525604934131e-12       0.000000000000e+00 
   95       3.354247073128e-10       9.228022773263e-14      -2.611335534223e-12       0.000000000000e+00 
   96       3.393645305290e-10       9.429808071197e-14      -2.697601020958e-12       0.000000000000e+00 
   97       3.433340245078e-10       9.630568936788e-14      -2.784322086720e-12       0.000000000000e+00 
   98       3.473328828093e-10       9.830098380856e-14      -2.871416473953e-12       0.000000000000e+00 
   99       3.513606117847e-10       1.002818485078e-13      -2.958798945204e-12       0.000000000000e+00 
  100       3.554165231020e-10       1.022461222240e-13      -3.046381253165e-12       0.000000000000e+00 
  101       3.594997262707e-10       1.041915979191e-13      -3.134072110719e-12       0.000000000000e+00 
  102       3.636091211670e-10       1.061160226781e-13      -3.221777160980e-12       0.000000000000e+00 
  103       3.677433905590e-10       1.080170976275e-13      -3.309398947338e-12       0.000000000000e+00 
  104       3.719012820181e-10       1.098925865167e-13      -3.396843412472e-12       0.000000000000e+00 
  105       3.760825131234e-10       1.117406583400e-13      -3.484040459754e-12       0.000000000000e+00 
  106       3.802869751712e-10       1.135595910621e-13      -3.570926126476e-12       0.000000000000e+00 
  107       3.845144504650e-10       1.153476681895e-13      -3.657436344192e-12       0.000000000000e+00 
  108       3.887646080207e-10       1.171031798828e-13      -3.743506980509e-12       0.000000000000e+00 
  109       3.930369992717e-10       1.188244240707e-13      -3.829073880880e-12       0.000000000000e+00 
  110       3.973310537743e-10       1.205097075623e-13      -3.914072910391e-12       0.000000000000e+00 
  111       4.016460749125e-10       1.221573471610e-13      -3.998439995551e-12       0.000000000000e+00 
  112       4.059812356036e-10       1.237656707771e-13      -4.082111166084e-12       0.000000000000e+00 
  113       4.103355740030e-10       1.253330185414e-13      -4.165022596718e-12       0.000000000000e+00 
  114       4.147079892097e-10       1.268577439177e-13      -4.247110648973e-12       0.000000000000e+00 
  115       4.190972369710e-10       1.283382148167e-13      -4.328311912956e-12       0.000000000000e+00 
  116       4.235021009837e-10       1.297728430993e-13      -4.408561693033e-12       0.000000000000e+00 
  117       4.279219396049e-10       1.311601747773e-13      -4.487789166655e-12       0.000000000000e+00 
  118       4.323561978548e-10       1.324988129212e-13      -4.565921712673e-12       0.000000000000e+00 
  119       4.368042350568e-10       1.337873915997e-13      -4.642886442511e-12       0.000000000000e+00 
  120       4.412653220952e-10       1.350245772440e-13      -4.718610228201e-12       0.000000000000e+00 
  121       4.457386386725e-10       1.362090700121e-13      -4.793019730406e-12       0.000000000000e+00 
  122       4.502232705678e-10       1.373396051528e-13      -4.866041426461e-12       0.000000000000e+00 
  123       4.547182068938e-10       1.384149543699e-13      -4.937601638397e-12       0.000000000000e+00 
  124       4.592223373553e-10       1.394339271864e-13      -5.007626560974e-12       0.000000000000e+00 
  125       4.637344495064e-10       1.403953723088e-13      -5.076042289716e-12       0.000000000000e+00 
  126       4.682532260084e-10       1.412981789910e-13      -5.142774848937e-12       0.000000000000e+00 
  127       4.727772418876e-10       1.421412783986e-13      -5.207750219776e-12       0.000000000000e+00 
  128       4.773049617929e-10       1.429236449729e-13      -5.270894368225e-12       0.000000000000e+00 
  129       4.818349025338e-10       1.436443424270e-13      -5.332134632921e-12       0.000000000000e+00 
  130       4.863661466780e-10       1.443026645390e-13      -5.391404001094e-12       0.000000000000e+00 
  131       4.908978803756e-10       1.448980124541e-13      -5.448637356854e-12       0.000000000000e+00 
  132       4.954292315860e-10       1.454298531036e-13      -5.503770200865e-12       0.000000000000e+00 
  133       4.999592685178e-10       1.458977208894e-13      -5.556738688113e-12       0.000000000000e+00 
  134       5.044869980696e-10       1.463012193670e-13      -5.607479665662e-12       0.000000000000e+00 
  135       5.090113642699e-10       1.466400229291e-13      -5.655930710418e-12       0.000000000000e+00 
  136       5.135312467181e-10       1.469138784892e-13      -5.702030166891e-12       0.000000000000e+00 
  137       5.180454590246e-10       1.471226071651e-13      -5.745717184952e-12       0.000000000000e+00 
  138       5.225527472512e-10       1.472661059625e-13      -5.786931757601e-12       0.000000000000e+00 
  139       5.270517883517e-10       1.473443494584e-13      -5.825614758719e-12       0.000000000000e+00 
  140       5.315411886124e-10       1.473573914847e-13      -5.861707980839e-12       0.000000000000e+00 
  141       5.360194820919e-10       1.473053668118e-13      -5.895154172899e-12       0.000000000000e+00 
  142       5.404851290625e-10       1.471884928320e-13      -5.925897078010e-12       0.000000000000e+00 
  143       5.449365144498e-10       1.470070712430e-13      -5.953881471211e-12       0.000000000000e+00 
  144       5.493720777370e-10       1.467615000600e-13      -5.979053531447e-12       0.000000000000e+00 
  145       5.537907204031e-10       1.464523074305e-13      -6.001361919095e-12       0.000000000000e+00 
  146       5.581914358751e-10       1.460801243689e-13      -6.020756876946e-12       0.000000000000e+00 
  147       5.625731808738e-10       1.456456764552e-13      -6.037189944856e-12       0.000000000000e+00 
  148       5.669348746107e-10       1.451497855776e-13      -6.050613999435e-12       0.000000000000e+00 
  149       5.712753979831e-10       1.445933716753e-13      -6.060983293723e-12       0.000000000000e+00 
  150       5.755935927706e-10       1.439774544820e-13      -6.068253496876e-12       0.000000000000e+00 
  151       5.798882608307e-10       1.433031552680e-13      -6.072381733846e-12       0.000000000000e+00 
  152       5.841581632952e-10       1.425716985836e-13      -6.073326625063e-12       0.000000000000e+00 
