# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349719255553e-02       2.594732630420e+04 
       1.362617606930e-02       2.599325388386e+04 
       1.375519589679e-02       2.603580967946e+04 
       1.388425215095e-02       2.607725561003e+04 
       1.401334496781e-02       2.611679803667e+04 
       1.414247450603e-02       2.615447364925e+04 
       1.427164094666e-02       2.619005957963e+04 
       1.440084449274e-02       2.622303179010e+04 
       1.453008536914e-02       2.625352879208e+04 
       1.465936382220e-02       2.628128274976e+04 
       1.478868011964e-02       2.630826245224e+04 
       1.491803455030e-02       2.633361168020e+04 
       1.504742742402e-02       2.635622251213e+04 
       1.517685907151e-02       2.637574426122e+04 
       1.530632984425e-02       2.639544522444e+04 
       1.543584011438e-02       2.641235370168e+04 
       1.556539027473e-02       2.642648570537e+04 
       1.569498073867e-02       2.644007707414e+04 
       1.582461194022e-02       2.645143312282e+04 
       1.595428433395e-02       2.646084000525e+04 
       1.608399839510e-02       2.646758740203e+04 
       1.621375461959e-02       2.647445976839e+04 
       1.634355352408e-02       2.647745832396e+04 
       1.647339564609e-02       2.647975949258e+04 
       1.660328154410e-02       2.648041045202e+04 
       1.673321179765e-02       2.647934557618e+04 
       1.686318700753e-02       2.647663545622e+04 
       1.699320779588e-02       2.647234041767e+04 
       1.712327480645e-02       2.646692265247e+04 
       1.725338870472e-02       2.645861032607e+04 
       1.738355017815e-02       2.644973616552e+04 
       1.751375993644e-02       2.643907143476e+04 
       1.764401871169e-02       2.642776827947e+04 
       1.777432725877e-02       2.641306384280e+04 
       1.790468635550e-02       2.639837539575e+04 
       1.803509680303e-02       2.638157367246e+04 
       1.816555942610e-02       2.636375615969e+04 
       1.829607507341e-02       2.634428501361e+04 
       1.842664461792e-02       2.632320850294e+04 
       1.855726895726e-02       2.630110741635e+04 
       1.868794901408e-02       2.627834951912e+04 
       1.881868573646e-02       2.625342924134e+04 
       1.894948009832e-02       2.622716062432e+04 
       1.908033309987e-02       2.619938770440e+04 
       1.921124576803e-02       2.617041742389e+04 
       1.934221915691e-02       2.614049094790e+04 
       1.947325434832e-02       2.610989875208e+04 
       1.960435245224e-02       2.607747857052e+04 
       1.973551460733e-02       2.604341244778e+04 
       1.986674198155e-02       2.600873510967e+04 
       1.999803577261e-02       2.597283855910e+04 
       2.012939720865e-02       2.593617825986e+04 
       2.026082754878e-02       2.589744577323e+04 
       2.039232808371e-02       2.585910570478e+04 
       2.052390013641e-02       2.581801427547e+04 
       2.065554506277e-02       2.577668724251e+04 
       2.078726425227e-02       2.573427137062e+04 
       2.091905912869e-02       2.569085081663e+04 
       2.105093115085e-02       2.564652857304e+04 
       2.118288181336e-02       2.560108289360e+04 
       2.131491264740e-02       2.555483460618e+04 
       2.144702522152e-02       2.550819762249e+04 
       2.157922114246e-02       2.545926819459e+04 
       2.171150205602e-02       2.541021023807e+04 
       2.184386964794e-02       2.536013909077e+04 
       2.197632564479e-02       2.530984072548e+04 
       2.210887181492e-02       2.525755505581e+04 
       2.224150996944e-02       2.520491763853e+04 
       2.237424196320e-02       2.515146526004e+04 
       2.250706969581e-02       2.509724900839e+04 
       2.263999511273e-02       2.504221125273e+04 
       2.277302020633e-02       2.498639602428e+04 
       2.290614701706e-02       2.492990353888e+04 
       2.303937763456e-02       2.487300395619e+04 
