# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349719255553e-02       2.570473187054e+04 
       1.362617606930e-02       2.574807236764e+04 
       1.375519589679e-02       2.578807011524e+04 
       1.388425215095e-02       2.582696510596e+04 
       1.401334496781e-02       2.586397212570e+04 
       1.414247450603e-02       2.589912802955e+04 
       1.427164094666e-02       2.593221279420e+04 
       1.440084449274e-02       2.596270845828e+04 
       1.453008536914e-02       2.599075280025e+04 
       1.465936382220e-02       2.601608152681e+04 
       1.478868011964e-02       2.604064304914e+04 
       1.491803455030e-02       2.606359064971e+04 
       1.504742742402e-02       2.608382896046e+04 
       1.517685907151e-02       2.610101190841e+04 
       1.530632984425e-02       2.611837238228e+04 
       1.543584011438e-02       2.613297188453e+04 
       1.556539027473e-02       2.614482701148e+04 
       1.569498073867e-02       2.615614896362e+04 
       1.582461194022e-02       2.616526261818e+04 
       1.595428433395e-02       2.617245143959e+04 
       1.608399839510e-02       2.617701389908e+04 
       1.621375461959e-02       2.618170256150e+04 
       1.634355352408e-02       2.618256581438e+04 
       1.647339564609e-02       2.618274335906e+04 
       1.660328154410e-02       2.618129398205e+04 
       1.673321179765e-02       2.617815329717e+04 
       1.686318700753e-02       2.617339150197e+04 
       1.699320779588e-02       2.616706862798e+04 
       1.712327480645e-02       2.615964159753e+04 
       1.725338870472e-02       2.614936087401e+04 
       1.738355017815e-02       2.613853079288e+04 
       1.751375993644e-02       2.612593823971e+04 
       1.764401871169e-02       2.611272123370e+04 
       1.777432725877e-02       2.609615234744e+04 
       1.790468635550e-02       2.607960584142e+04 
       1.803509680303e-02       2.606097999092e+04 
       1.816555942610e-02       2.604135854689e+04 
       1.829607507341e-02       2.602011229317e+04 
       1.842664461792e-02       2.599728929349e+04 
       1.855726895726e-02       2.597346304206e+04 
       1.868794901408e-02       2.594899665553e+04 
       1.881868573646e-02       2.592240498638e+04 
       1.894948009832e-02       2.589449161405e+04 
       1.908033309987e-02       2.586510304620e+04 
       1.921124576803e-02       2.583454240297e+04 
       1.934221915691e-02       2.580304782830e+04 
       1.947325434832e-02       2.577090600876e+04 
       1.960435245224e-02       2.573697107643e+04 
       1.973551460733e-02       2.570142298182e+04 
       1.986674198155e-02       2.566528224037e+04 
       1.999803577261e-02       2.562794965118e+04 
       2.012939720865e-02       2.558987446707e+04 
       2.026082754878e-02       2.554976726530e+04 
       2.039232808371e-02       2.551005749607e+04 
       2.052390013641e-02       2.546764704392e+04 
       2.065554506277e-02       2.542501551440e+04 
       2.078726425227e-02       2.538132228883e+04 
       2.091905912869e-02       2.533665054263e+04 
       2.105093115085e-02       2.529110197690e+04 
       2.118288181336e-02       2.524445838338e+04 
       2.131491264740e-02       2.519703602756e+04 
       2.144702522152e-02       2.514924273972e+04 
       2.157922114246e-02       2.509920385676e+04 
       2.171150205602e-02       2.504905071124e+04 
       2.184386964794e-02       2.499791228286e+04 
       2.197632564479e-02       2.494656261249e+04 
       2.210887181492e-02       2.489326905613e+04 
       2.224150996944e-02       2.483964205215e+04 
       2.237424196320e-02       2.478522574625e+04 
       2.250706969581e-02       2.473007060406e+04 
       2.263999511273e-02       2.467412008338e+04 
       2.277302020633e-02       2.461741769750e+04 
       2.290614701706e-02       2.456006222609e+04 
       2.303937763456e-02       2.450231961383e+04 
       2.317271419890e-02       2.444297847572e+04 
       2.330615890180e-02       2.438344097245e+04 
       2.343971398792e-02       2.432327295576e+04 
       2.357338175615e-02       2.426288220443e+04 
       2.370716456100e-02       2.420087498130e+04 
       2.384106481399e-02       2.413869079588e+04 
       2.397508498508e-02       2.407592098209e+04 
       2.410922760418e-02       2.401262309057e+04 
       2.424349526269e-02       2.394861644846e+04 
       2.437789061509e-02       2.388409793258e+04 
       2.451241638055e-02       2.381906900305e+04 
       2.464707534467e-02       2.375360662489e+04 
       2.478187036123e-02       2.368714415855e+04 
       2.491680435394e-02       2.362051413601e+04 
       2.505188031836e-02       2.355331576642e+04 
       2.518710132382e-02       2.348567428544e+04 
       2.532247051540e-02       2.341765279725e+04 
       2.545799111597e-02       2.334889864983e+04 
       2.559366642839e-02       2.328018959917e+04 
       2.572949983761e-02       2.321053994959e+04 
       2.586549481303e-02       2.314072870721e+04 
       2.600165491080e-02       2.307041458807e+04 
       2.613798377629e-02       2.299918532150e+04 
       2.627448514657e-02       2.292830300097e+04 
       2.641116285305e-02       2.285673706301e+04 
       2.654802082415e-02       2.278492357106e+04 
       2.668506308812e-02       2.271263543587e+04 
       2.682229377588e-02       2.263995605975e+04 
       2.695971712407e-02       2.256693832711e+04 
       2.709733747813e-02       2.249382379128e+04 
       2.723515929550e-02       2.242023100289e+04 
       2.737318714896e-02       2.234623092068e+04 
       2.751142573009e-02       2.227222772106e+04 
       2.764987985283e-02       2.219768460295e+04 
       2.778855445722e-02       2.212313956015e+04 
       2.792745461322e-02       2.204815280623e+04 
       2.806658552475e-02       2.197295665227e+04 
       2.820595253378e-02       2.189747429890e+04 
       2.834556112471e-02       2.182165876283e+04 
       2.848541692877e-02       2.174582960670e+04 
       2.862552572872e-02       2.166956019874e+04 
       2.876589346368e-02       2.159334102690e+04 
       2.890652623411e-02       2.151670872970e+04 
       2.904743030707e-02       2.144008831343e+04 
       2.918861212164e-02       2.136319984705e+04 
       2.933007829456e-02       2.128631814272e+04 
       2.947183562612e-02       2.120890030223e+04 
       2.961389110626e-02       2.113154802558e+04 
       2.975625192100e-02       2.105406702046e+04 
       2.989892545902e-02       2.097656554514e+04 
       3.004191931860e-02       2.089870699095e+04 
       3.018524131485e-02       2.082084391980e+04 
       3.032889948722e-02       2.074285921038e+04 
       3.047290210736e-02       2.066475710603e+04 
       3.061725768729e-02       2.058675881727e+04 
       3.076197498798e-02       2.050828143780e+04 
       3.090706302827e-02       2.042991715767e+04 
       3.105253109416e-02       2.035150396732e+04 
       3.119838874865e-02       2.027310502664e+04 
       3.134464584183e-02       2.019448482640e+04 
       3.149131252163e-02       2.011587413987e+04 
       3.163839924495e-02       2.003719628804e+04 
       3.178591678931e-02       1.995832854951e+04 
       3.193387626514e-02       1.987966233875e+04 
       3.208228912856e-02       1.980089092014e+04 
       3.223116719483e-02       1.972189041813e+04 
