# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043532091e-10       7.653263661152e-15       2.380572466822e-13       6.776159291582e-17       9.046338870068e-11       9.751315804504e-12      -8.351246037818e-15 
   41       1.670017822198e-10       8.304886779369e-15       2.284586255107e-13       7.119228972556e-17       8.598777926325e-11       9.311592902125e-12      -6.389560850367e-15 
   42       1.694089274060e-10       8.995242780729e-15       2.178260472124e-13       7.471055018598e-17       8.180192044664e-11       8.896431754948e-12      -5.644107570960e-15 
   43       1.718349341924e-10       9.723866985697e-15       2.060482384621e-13       7.831659283771e-17       7.789473296940e-11       8.506510830192e-12      -5.882707279118e-15 
   44       1.742868950425e-10       1.048997092773e-14       1.929917448584e-13       8.201063390908e-17       7.423783278316e-11       8.141180043470e-12      -6.802859489111e-15 
   45       1.767695089577e-10       1.129272580415e-14       1.785110675895e-13       8.579285017582e-17       7.079567612265e-11       7.798904457498e-12      -8.072933980526e-15 
   46       1.792845498538e-10       1.213225975614e-14       1.624863340688e-13       8.966325532885e-17       6.756285812699e-11       7.479022667937e-12      -9.481082950590e-15 
   47       1.818307980063e-10       1.300892562094e-14       1.447942568572e-13       9.362178590233e-17       6.453562140938e-11       7.180319850078e-12      -1.082315893329e-14 
   48       1.844038501440e-10       1.392302192740e-14       1.252965751886e-13       9.766833228387e-17       6.170060569658e-11       6.900435561765e-12      -1.185902937889e-14 
   49       1.869958553810e-10       1.487479087374e-14       1.038391803073e-13       1.018027361640e-16       5.903413367788e-11       6.635781675101e-12      -1.231068919262e-14 
   50       1.895987295260e-10       1.586442718863e-14       8.029467193187e-14       1.060247845174e-16       5.650934389003e-11       6.382582657847e-12      -1.195046234408e-14 
   51       1.922154392239e-10       1.689211224178e-14       5.470567493518e-14       1.103341955377e-16       5.412152872536e-11       6.140519706069e-12      -1.089821012091e-14 
   52       1.948513243102e-10       1.795798569668e-14       2.717891244927e-14       1.147306244763e-16       5.186843968570e-11       5.909933910037e-12      -9.401534103309e-15 
   53       1.975107891421e-10       1.906213396216e-14      -2.153683807276e-15       1.192136641267e-16       4.974270476686e-11       5.690761799875e-12      -7.755034268962e-15 
   54       2.001972022188e-10       2.020458868228e-14      -3.313380437422e-14       1.237828421115e-16       4.773148357993e-11       5.482506093726e-12      -6.302661017375e-15 
   55       2.029129381321e-10       2.138534239784e-14      -6.561526095183e-14       1.284376730915e-16       4.582038616989e-11       5.284465705216e-12      -5.357171348718e-15 
   56       2.056597455783e-10       2.260440354640e-14      -9.959336121603e-14       1.331778367998e-16       4.400715957743e-11       5.096559690397e-12      -4.929678196603e-15 
   57       2.084382949464e-10       2.386175248040e-14      -1.351056256178e-13       1.380030394815e-16       4.229079723066e-11       4.918656750032e-12      -4.937035098870e-15 
   58       2.112479512298e-10       2.515732466979e-14      -1.721953033535e-13       1.429129622846e-16       4.066739826823e-11       4.750315169660e-12      -5.277987055809e-15 
   59       2.140866791925e-10       2.649100986101e-14      -2.109117487190e-13       1.479072606852e-16       3.912998877856e-11       4.590763668773e-12      -5.832292846236e-15 
   60       2.169509485352e-10       2.786265123585e-14      -2.513107974624e-13       1.529855639143e-16       3.766834303920e-11       4.438882250000e-12      -6.459847343572e-15 
   61       2.198372228698e-10       2.927198883228e-14      -2.934433041564e-13       1.581475531740e-16       3.627182359040e-11       4.293505604304e-12      -7.029628314329e-15 
   62       2.227470317322e-10       3.071847686904e-14      -3.373168962977e-13       1.633932181024e-16       3.493905080256e-11       4.154456233070e-12      -7.516114996512e-15 
   63       2.256828739342e-10       3.220142373847e-14      -3.829262642815e-13       1.687226571184e-16       3.367009641057e-11       4.021710293243e-12      -7.923052733509e-15 
   64       2.286466905190e-10       3.372004156849e-14      -4.302642435512e-13       1.741360055992e-16       3.246357487129e-11       3.895086764441e-12      -8.255605504379e-15 
   65       2.316398201802e-10       3.527344361293e-14      -4.793218153100e-13       1.796334378058e-16       3.131656038818e-11       3.774238532598e-12      -8.520424548191e-15 
   66       2.346629546812e-10       3.686064164199e-14      -5.300881072320e-13       1.852151688095e-16       3.022450393593e-11       3.658643473600e-12      -8.725716988381e-15 
   67       2.377160942751e-10       3.848054333256e-14      -5.825503941747e-13       1.908814564176e-16       2.918115028512e-11       3.547595536931e-12      -8.881314457098e-15 
   68       2.407990148104e-10       4.013207040278e-14      -6.366940425866e-13       1.966325912599e-16       2.818020881374e-11       3.440402824668e-12      -8.997651529986e-15 
   69       2.439128786101e-10       4.181454664515e-14      -6.925023290614e-13       2.024688604102e-16       2.722094454844e-11       3.337048366010e-12      -9.082307266652e-15 
   70       2.470588714127e-10       4.352738419236e-14      -7.499565861277e-13       2.083905798196e-16       2.630357616012e-11       3.237647830507e-12      -9.142882955179e-15 
   71       2.502376886353e-10       4.526997019982e-14      -8.090362545845e-13       2.143981070982e-16       2.542758497679e-11       3.142250821836e-12      -9.188070309264e-15 
   72       2.534495038803e-10       4.704166732412e-14      -8.697188827721e-13       2.204918431381e-16       2.459167686211e-11       3.050837255442e-12      -9.227692210477e-15 
   73       2.566939374409e-10       4.884181420152e-14      -9.319801258446e-13       2.266722337371e-16       2.379374409390e-11       2.963313736173e-12      -9.272743450522e-15 
   74       2.599700248072e-10       5.066972592640e-14      -9.957937450410e-13       2.329397712215e-16       2.303082724267e-11       2.879509935920e-12      -9.335431473504e-15 
   75       2.632761851722e-10       5.252469452973e-14      -1.061131606957e-12       2.392949960694e-16       2.229907705014e-11       2.799174971259e-12      -9.429217118188e-15 
   76       2.666108649618e-10       5.440582966990e-14      -1.127960784977e-12       2.457383996419e-16       2.159471002726e-11       2.722043960042e-12      -9.564915688099e-15 
   77       2.699746735221e-10       5.631154610873e-14      -1.196234254954e-12       2.522701083112e-16       2.091716069539e-11       2.648059710420e-12      -9.738089272619e-15 
   78       2.733685814761e-10       5.823998320930e-14      -1.265898493634e-12       2.588901444127e-16       2.026643758312e-11       2.577185064605e-12      -9.939418693807e-15 
   79       2.767932628834e-10       6.018915367944e-14      -1.336896166801e-12       2.655985196296e-16       1.964216304450e-11       2.509334158307e-12      -1.015839982280e-14 
   80       2.802490775875e-10       6.215694077361e-14      -1.409166069126e-12       2.723952345884e-16       1.904355551460e-11       2.444370237445e-12      -1.038330353589e-14 
   81       2.837360535641e-10       6.414109549482e-14      -1.482643064014e-12       2.792802784535e-16       1.846941176503e-11       2.382103474868e-12      -1.060113567066e-14 
   82       2.872538692690e-10       6.613923379651e-14      -1.557258023456e-12       2.862536285234e-16       1.791808915952e-11       2.322288787066e-12      -1.079759698202e-14 
   83       2.908018359858e-10       6.814883378443e-14      -1.632937767875e-12       2.933152498257e-16       1.738748790944e-11       2.264623650888e-12      -1.095704309836e-14 
   84       2.943792654479e-10       7.016748488389e-14      -1.709613413750e-12       3.004651100512e-16       1.687556143938e-11       2.208819420186e-12      -1.106573106404e-14 
   85       2.979866813935e-10       7.219368893091e-14      -1.787247138265e-12       3.077032280887e-16       1.638198356514e-11       2.154833642316e-12      -1.112226507146e-14 
   86       3.016247774306e-10       7.422618737233e-14      -1.865809762019e-12       3.150296328317e-16       1.590672645002e-11       2.102672430914e-12      -1.112881704302e-14 
   87       3.052940386081e-10       7.626372252362e-14      -1.945272815710e-12       3.224443484105e-16       1.544954833039e-11       2.052319456209e-12      -1.108800897982e-14 
   88       3.089947302394e-10       7.830503900555e-14      -2.025608621297e-12       3.299473940451e-16       1.500998464712e-11       2.003734997026e-12      -1.100292815447e-14 
   89       3.127268867256e-10       8.034888518077e-14      -2.106790373150e-12       3.375387838986e-16       1.458733917687e-11       1.956854992798e-12      -1.087714230395e-14 
   90       3.164903003777e-10       8.239401459040e-14      -2.188792219213e-12       3.452185269302e-16       1.418067516346e-11       1.911590095573e-12      -1.071471482245e-14 
   91       3.202845102410e-10       8.443918739069e-14      -2.271589342153e-12       3.529866267485e-16       1.378880644920e-11       1.867824722023e-12      -1.052021995420e-14 
   92       3.241087909168e-10       8.648317178953e-14      -2.355158040523e-12       3.608430814646e-16       1.341028860625e-11       1.825416105452e-12      -1.029875798634e-14 
   93       3.279624099978e-10       8.852463553637e-14      -2.439467733532e-12       3.687880006561e-16       1.304376166843e-11       1.784230140878e-12      -1.005548238078e-14 
   94       3.318454689370e-10       9.056179860275e-14      -2.524455423583e-12       3.768219767011e-16       1.268905655432e-11       1.744257146251e-12      -9.794066816900e-15 
   95       3.357581685687e-10       9.259273067794e-14      -2.610047525078e-12       3.849457692815e-16       1.234623942731e-11       1.705511840002e-12      -9.518034609227e-15 
   96       3.397005443762e-10       9.461545638968e-14      -2.696167569263e-12       3.931601946891e-16       1.201527093414e-11       1.667997662272e-12      -9.231234604787e-15 
   97       3.436724590023e-10       9.662795523158e-14      -2.782736174523e-12       4.014661272867e-16       1.169600216258e-11       1.631706331978e-12      -8.937849676415e-15 
   98       3.476735947593e-10       9.862816149046e-14      -2.869671016677e-12       4.098645009685e-16       1.138817059919e-11       1.596617403866e-12      -8.642405216062e-15 
   99       3.517034461394e-10       1.006139641738e-13      -2.956886799263e-12       4.183563106210e-16       1.109139608697e-11       1.562697825582e-12      -8.349777628103e-15 
  100       3.557613123251e-10       1.025832069370e-13      -3.044295223842e-12       4.269426135839e-16       1.080517678310e-11       1.529901494723e-12      -8.065202822649e-15 
  101       3.598462896992e-10       1.045336880109e-13      -3.131804960283e-12       4.356245311103e-16       1.052888511666e-11       1.498168815903e-12      -7.794284708852e-15 
  102       3.639572643553e-10       1.064631601291e-13      -3.219321617058e-12       4.444032498281e-16       1.026176374628e-11       1.467426257813e-12      -7.543003688218e-15 
  103       3.680929046078e-10       1.083693304554e-13      -3.306747711538e-12       4.532800232001e-16       1.000292151794e-11       1.437585910283e-12      -7.317725147911e-15 
  104       3.722519450887e-10       1.102499691332e-13      -3.393989161074e-12       4.622560413882e-16       9.751535491287e-12       1.408565501160e-12      -7.123732582150e-15 
  105       3.764340988762e-10       1.121032517899e-13      -3.480975818873e-12       4.713320176765e-16       9.507496806370e-12       1.380352480495e-12      -6.960582989465e-15 
  106       3.806392551920e-10       1.139274633802e-13      -3.567643669751e-12       4.805085486431e-16       9.270844934293e-12       1.352947807733e-12      -6.826136970449e-15 
  107       3.848671945837e-10       1.157208948027e-13      -3.653928598513e-12       4.897862407823e-16       9.041567643207e-12       1.326346049459e-12      -6.717970445678e-15 
  108       3.891175846402e-10       1.174818440211e-13      -3.739766431895e-12       4.991657105195e-16       8.819599220514e-12       1.300535161294e-12      -6.633366936141e-15 
  109       3.933899757051e-10       1.192086171851e-13      -3.825092980524e-12       5.086475842260e-16       8.604818695060e-12       1.275496269788e-12      -6.569309843668e-15 
  110       3.976837965922e-10       1.208995297517e-13      -3.909844080860e-12       5.182324982328e-16       8.397048059343e-12       1.251203454313e-12      -6.522474731364e-15 
  111       4.019983502993e-10       1.225529076060e-13      -3.993955637151e-12       5.279210988463e-16       8.196050491702e-12       1.227623528960e-12      -6.489221604039e-15 
  112       4.063328097233e-10       1.241670881824e-13      -4.077363663379e-12       5.377140423618e-16       8.001528578526e-12       1.204715824429e-12      -6.465587188638e-15 
  113       4.106862133742e-10       1.257404215854e-13      -4.160004325215e-12       5.476119950791e-16       7.813122536448e-12       1.182431969927e-12      -6.447277214671e-15 
  114       4.150574610897e-10       1.272712717110e-13      -4.241813981967e-12       5.576156333164e-16       7.630408434545e-12       1.160715675058e-12      -6.429658694646e-15 
  115       4.194453097501e-10       1.287580173671e-13      -4.322729228528e-12       5.677256434253e-16       7.452896416537e-12       1.139502511722e-12      -6.407752204498e-15 
  116       4.238485433899e-10       1.301990814221e-13      -4.402685388781e-12       5.779427229372e-16       7.280138103451e-12       1.118734674743e-12      -6.377248901205e-15 
  117       4.282665161600e-10       1.315930198708e-13      -4.481611698312e-12       5.882675841292e-16       7.112067416571e-12       1.098407766018e-12      -6.337718357843e-15 
  118       4.326986676391e-10       1.329384457528e-13      -4.559435612057e-12       5.987009509216e-16       6.948698046572e-12       1.078529315350e-12      -6.289778060010e-15 
  119       4.371443516297e-10       1.342340034481e-13      -4.636084328390e-12       6.092435578085e-16       6.790017177169e-12       1.059104225919e-12      -6.234104892271e-15 
  120       4.416028334143e-10       1.354783700462e-13      -4.711484817386e-12       6.198961498829e-16       6.635984672670e-12       1.040134688622e-12      -6.171436479038e-15 
  121       4.460732870122e-10       1.366702567147e-13      -4.785563849074e-12       6.306594828608e-16       6.486532265515e-12       1.021620096399e-12      -6.102572525451e-15 
  122       4.505547924355e-10       1.378084100686e-13      -4.858248021703e-12       6.415343231065e-16       6.341562743819e-12       1.003556958568e-12      -6.028376158269e-15 
  123       4.550463329460e-10       1.388916135388e-13      -4.929463789992e-12       6.525214476564e-16       6.200949138918e-12       9.859388151584e-13      -5.949775266744e-15 
  124       4.595467923117e-10       1.399186887407e-13      -4.999137493393e-12       6.636216442444e-16       6.064533912915e-12       9.687561512383e-13      -5.867763843511e-15 
  125       4.640549520628e-10       1.408884968437e-13      -5.067195384349e-12       6.748357113258e-16       5.932128146218e-12       9.519963112503e-13      -5.783403325468e-15 
  126       4.685694887487e-10       1.417999399395e-13      -5.133563656551e-12       6.861644581027e-16       5.803510725087e-12       9.356434133425e-13      -5.697823934662e-15 
  127       4.730889711945e-10       1.426519624110e-13      -5.198168473197e-12       6.976087045477e-16       5.678427529179e-12       9.196782637001e-13      -5.612226019167e-15 
  128       4.776118577568e-10       1.434435523015e-13      -5.260935995251e-12       7.091692814295e-16       5.556590619092e-12       9.040782708781e-13      -5.527881393974e-15 
  129       4.821366595016e-10       1.441737873443e-13      -5.321793768003e-12       7.208470450243e-16       5.437740125202e-12       8.888226752662e-13      -5.445888185774e-15 
  130       4.866624558006e-10       1.448419758560e-13      -5.380674992717e-12       7.326429230263e-16       5.321839316016e-12       8.739090680646e-13      -5.366402112403e-15 
  131       4.911884303746e-10       1.454475339582e-13      -5.437514779175e-12       7.445578737437e-16       5.208899493303e-12       8.593385310013e-13      -5.289323015252e-15 
  132       4.957137089025e-10       1.459899439736e-13      -5.492248866978e-12       7.565928719915e-16       5.098918848793e-12       8.451104364724e-13      -5.214533377310e-15 
  133       5.002373574647e-10       1.464687561143e-13      -5.544813663526e-12       7.687489092204e-16       4.991882100395e-12       8.312223999070e-13      -5.141897900214e-15 
  134       5.047583809872e-10       1.468835901707e-13      -5.595146281998e-12       7.810269936473e-16       4.887760128406e-12       8.176702321329e-13      -5.071263081293e-15 
  135       5.092757216851e-10       1.472341371992e-13      -5.643184579328e-12       7.934281503844e-16       4.786509611724e-12       8.044478917411e-13      -5.002456790618e-15 
  136       5.137882575065e-10       1.475201612110e-13      -5.688867194181e-12       8.059534215693e-16       4.688072664055e-12       7.915474374516e-13      -4.935287848048e-15 
  137       5.182948005761e-10       1.477415008607e-13      -5.732133584933e-12       8.186038664945e-16       4.592376470131e-12       7.789589804779e-13      -4.869545600275e-15 
  138       5.227940956393e-10       1.478980711344e-13      -5.772924067651e-12       8.313805617374e-16       4.499332921914e-12       7.666706368926e-13      -4.804999497876e-15 
  139       5.272848185053e-10       1.479898650380e-13      -5.811179854064e-12       8.442846012897e-16       4.408838254814e-12       7.546684799927e-13      -4.741398672356e-15 
  140       5.317655744916e-10       1.480169552862e-13      -5.846843089550e-12       8.573170966870e-16       4.320772683897e-12       7.429364926642e-13      -4.678471513195e-15 
  141       5.362348968672e-10       1.479794959902e-13      -5.879856891105e-12       8.704791771393e-16       4.235000040097e-12       7.314565197476e-13      -4.615925244900e-15 
